Name,utility_equal,numRandom_equal,numWins_equal,utility_firsthigher,numRandom_firsthigher,numWins_firsthigher,utility_secondhigher,numRandom_secondhigher,numWins_secondhigher,utility_nosecond,numRandom_nosecond,numWins_nosecond,utility_basicheuristics,numRandom_basicheuristics,numWins_basicheuristics,
Chess,-0.2,3,2,-0.3,3,2,-0.6,4,0,0.1,4,4,-0.5,3,1,
Double Chess,0.0,4,3,0.1,3,5,0.2,5,5,0.6,5,6,-0.1,4,3,
Shataranja,-0.8,2,1,-0.6,3,2,-0.8,4,1,-0.4,3,3,-0.6,4,2,
Shogi,0.2,3,6,0.5,6,7,-0.1,4,4,0.2,3,6,-0.5,5,2,
Main Chator (Batak),-0.2,4,0,0.2,4,1,0.0,5,0,0.2,4,1,-0.2,4,0,
Tepong,-0.8,1,0,-0.6,2,0,-0.8,1,0,0.4,3,2,-0.6,2,0,
Kyoto Shogi,-1.0,0,0,-1.0,0,0,-0.6,0,1,-0.6,0,1,-1.0,0,0,
Main Chator,0.5,5,6,0.4,6,4,0.2,6,3,0.2,7,3,0.0,8,1,
Mak Ruk,-0.2,2,1,0.0,1,2,0.8,1,4,-0.8,1,0,0.0,1,2,
Unachess,0.4,1,3,0.0,1,2,0.6,2,3,0.0,2,1,0.2,2,2,
Chatur,0.6,1,4,0.6,1,4,0.6,2,4,0.6,3,4,0.6,3,4,
Qatranj,0.2,2,2,0.2,2,2,0.6,2,3,-0.6,0,1,0.4,2,3,
Grande Acedrex,0.0,5,1,0.2,3,2,-0.2,0,2,-0.4,3,1,-0.4,3,0,
Mak Ruk,0.0,2,2,-0.2,0,2,0.0,3,1,-0.2,2,1,-0.2,2,1,
MiniXiangqi,0.6,0,4,1.0,0,5,1.0,0,5,0.4,1,3,0.0,1,2,
Phase Chess,0.0,3,1,-1.0,0,0,0.0,3,1,-0.2,4,0,0.0,3,1,
Mak Ruk,-0.1,2,4,-0.3,5,1,0.7,3,7,0.6,2,7,0.3,5,4,
Maharajah Chess,1.0,5,5,0.6,3,4,0.6,5,3,0.4,4,3,0.6,4,4,
Shatranj (12x12),-0.4,2,1,-0.4,2,1,0.4,3,2,1.0,0,5,0.6,0,4,
Grande Acedrex,0.0,3,1,0.4,3,2,0.0,1,2,0.2,2,2,0.2,2,2,
