,0,1
0,1,23.0
0,Chess,
1,Double Chess,
2,Shogi,
3,Main Chator,
4,Mak Ruk,
5,Grande Acedrex,
6,Maharajah Chess,
7,Amazon Chess,
8,Loop Chess,
9,Los Alamos Chess,
10,Minishogi,
11,Janggi,
12,Dice Shogi,
13,Social Distance Chess,
14,Shatren,
15,Kyoto Shogi,
16,Chatur,
17,Phase Chess,
18,Persian Chess with a Queen,
19,Schachzabel,
20,Spartan Chess,
21,Chandaraki,
22,Scachs,
23,Shakhmaty,
24,Korkserschach,
25,Shatranj (Algeria),
26,Shatranj (Iraq),
27,Acedrex (Alfonso),
28,Cittabhramanrpasya Khelanam,
29,Shataranja,
30,Main Chator (Batak),
31,Tepong,
32,Main Chator (Selangor),
33,Hexshogi,
34,Unachess,
35,Qatranj,
36,MiniXiangqi,
37,Shatranj (12x12),
38,Shatranj (14x14),
39,1D Chess,
40,Viking Chess,
41,Alice Chess,
42,Symmetric Chess,
43,Fischer Random Chess,
44,Loop Xiangqi,
