,0,1
0,38,43.0
0,Diviyan Keliya,
1,Xiangqi,
2,Brazilian Draughts,
3,Canadian Draughts,
4,Dama,
5,English Draughts,
6,International Draughts,
7,Konane,
8,Lasca,
9,Amazons,
10,Pereauni,
11,Choro (Acholi),
12,Choro (Lango),
13,Muvalavala (Quioco),
14,Nsumbi,
15,Blue Nile,
16,Coyote,
17,Spots,
18,Snowpaque,
19,HexDame,
20,Quantum Leap,
21,Manzhouqi,
22,Frisian Draughts,
23,Domineering,
24,NoGo,
25,Jekab,
26,Clobber,
27,Crossline,
28,Cram,
29,LastEdge,
30,Tugul Shodra,
31,Guerrilla Checkers,
32,Mylna,
33,Hex Amazons,
34,Dama (Italy),
35,Diagonal Draughts,
36,Unnamed Dutch Draughts Game,
37,Jeu du Renard et de la Poule,
38,Dorvon Cag,
39,Gauntlet,
40,Doov,
41,Main Dam,
42,Fibonacci Nim,
43,Ex Nihilo,
44,Omnidirectional Draughts,
45,Dum Blas,
46,Leap Frog,
47,Isolation,
48,Chiana wa Kunja,
49,American Pool Checkers,
50,Bashni,
51,Bamboo,
52,Gopher,
53,Mity,
54,Unashogi,
55,Seesaw Draughts,
56,Pentomino,
57,Don't Mosey and The Last Scavenger,
