,0,1
0,63,9.0
0,Adugo,
1,Baghchal,
2,Wolf and Sheep,
3,Arimaa,
4,Alquerque,
5,Nei-Pat-Kono,
6,Peralikatuma,
7,Hewakam Keliya,
8,Zamma,
9,Aw-li On-nam Ot-tjin,
10,Das Bohnenspiel,
11,En Gehe,
12,Kalah,
13,Oware,
14,Chinese Checkers,
15,L Game,
16,Mu Torere,
17,Round Merels,
18,Shisima,
19,Tant Fant,
20,Tic-Tac-Mo,
21,Tic-Tac-Toe,
22,Hawalis,
23,Chopsticks,
24,Half Chess,
25,Qelat,
26,Santaraj,
27,Sungka,
28,Awithlaknakwe,
29,Tuknanavuhpi,
30,Kotu Ellima,
31,Terhuchu,
32,Awithlaknan Mosona,
33,Lau Kata Kati,
34,Dash Guti,
35,Egara Guti,
36,Pretwa,
37,Dam,
38,Rithmomachia,
39,Juroku Musashi,
40,Yeung Luk Sz' Kon Tseung Kwan,
41,Les Pendus,
42,Dala,
43,Mefuvha,
44,Maak Yek,
45,Hasami Shogi,
46,Shantarad,
47,Ceelkoqyuqkoqiji,
48,Yucebao,
49,Laomuzhu,
50,Halusa,
51,Mangala (Bedouin),
52,Pallankuli,
53,Puhulmutu,
54,Walak-Pussa,
55,Kotu Baendum,
56,Daramuti,
57,Meusueb,
58,Sonka,
59,Main Chongkak,
60,J'odu,
61,J'erin,
62,Okwe (Nigeria),
63,Azigo,
64,Okwe (Achalla),
65,Ako Okwe,
66,Gifia,
67,Kara,
68,Leyla Gobale (Gabradarre),
69,Bosh,
70,Um el Banat,
71,Kiuthi,
72,Intotoi,
73,French Wari,
74,English Wari (St. Lucia),
75,Adjiboto,
76,Hus (Nama),
77,Ikibuguzo (Opening 1),
78,Bao Ki Arabu (Zanzibar 1),
79,Mweiso,
80,Mweso,
81,Owela (Benguela),
82,Muvalavala (Luena),
83,Tchela,
84,Quela,
85,Mangala (Suez),
86,Wouri,
87,Toguz Kumalak,
88,Khrour,
89,Papan Dakon,
90,Hoyito,
91,Shui Yen Ho-Shang,
92,Chongka',
93,Shatranj ar-Rumiya,
94,Shatranj al-Kabir,
95,Hindustani Chess,
96,Parsi Chess,
97,Sittuyin,
98,Ouk Chatrang,
99,Tobi Shogi,
100,Shatranj at-Tamma,
101,Shatranj al-Husun,
102,Acedrex de los Cuatros Tiempos,
103,Shatranj Diwana Shah,
104,Shatr ikh Padan,
105,Shodra,
106,Saxun,
107,Komikan,
108,Gabata (Aksum),
109,Selus,
110,Gabata (Ansaba),
111,Mewelad,
112,Mewegae,
113,Bechi,
114,Andada,
115,Qelat (Beni Amir-Mensa),
116,Selus (Massawa),
117,Rab'e,
118,Gabata (Adegrat),
119,Gabata (Shoa and Adegrat),
120,Gabata (Wuqro),
121,Gabata (Shoa I),
122,Hufesay,
123,Lam Waladach,
124,Lamosh,
125,Gabata (Oromo),
126,Jimafesosh,
127,Tuz,
128,Dabuda,
129,Fergen Gobale,
130,Leyla,
131,Rio Kadalis,
132,Bao Ki Arabu (Zanzibar 2),
133,Hus (Damara),
134,Gundru,
135,Cercar La Liebre,
136,Dra,
137,O-Pat-Kono,
138,Jeu Militaire,
139,Go with the Floe,
140,Madelinette,
141,Hat Diviyan Keliya,
142,Merimueng-rimueng-do,
143,Pon Chochotl,
144,Demala Diviyan Keliya,
145,Gol Ekuish,
146,Pong Hau K'i,
147,Picaria,
148,Fox and Geese,
149,Kharbaga,
150,Camelot,
151,Salta,
152,Yovodji,
153,Enindji,
154,Fondji,
155,Woli,
156,Foji,
157,Oure Ngat,
158,Wore,
159,Mawkar Katiya,
160,Kanji Guti,
161,Motiq,
162,O An Quan,
163,Vai Lung Thlan,
164,Unnee Tugalluulax,
165,Bay Khom,
166,Conspirateurs,
167,Safe Passage,
168,Kaooa,
169,Hyvn aetter Hare,
170,Ho-Bag Gonu,
171,Trax,
172,Pushing Me XO,
173,Kensington,
174,Boseog Gonu,
175,Tic-Tac-Chess,
176,Game of Solomon,
177,Awagagae,
178,Gabata (Ghinda),
179,CrossGeo,
180,Radran,
181,Ilpion,
182,Hackenbush,
183,Tre Guti,
184,Sher Bakar,
185,Khutka Boia,
186,Bouge Shodra,
187,Bara Guti,
188,Musinaykahwhanmetowaywin,
189,Ahtarah Guti,
190,Los Doze Canes,
191,Emperador,
192,Medio Emperador,
193,Cab e Quinal,
194,Alquerque de Tres,
195,Pachih,
196,Merimueng-rimueng,
197,Sig (Mzab),
198,Bagh Batti,
199,Deleb,
200,Had,
201,Haretavl,
202,T'uk T'uk,
203,Kharberg,
204,Laram Wali,
205,Wure Dune,
206,Abak,
207,Shah,
208,Koruboddo,
209,Djara-Badakh,
210,Um el Tuweisat,
211,Gala,
212,Satoel,
213,Rimoe,
214,Natt Klab ash-Shawk,
215,Ofanfelling,
216,Refskak,
217,Dubblets,
218,Currierspiel,
219,Patol,
220,Kawasukuts,
221,Wellisch Chess,
222,Starchess,
223,Mini Hexchess,
224,Glinski Chess,
225,Brusky Chess,
226,McCooey Chess,
227,De Vasa Chess,
228,Shafran Chess,
229,Main Tapak Empat,
230,Dama (Philippines),
231,Jeu de Renard,
232,Jeu de Renard (Two Foxes),
233,Maleys,
234,Sher Bakr,
235,Bagh Bandi,
236,Ram Tir,
237,Pam Pait,
238,Bam Blang Beh Khla,
239,Mughal Pathan,
240,Kaua Dorki,
241,Challis Ghutia,
242,Tuk Tak,
243,Bara Guti (Bihar),
244,Bagha Guti,
245,Bis Gutiya,
246,Challis Ghutia (Titagarh),
247,Orissa Tiger Game (One Tiger),
248,Kulaochal,
249,Do Guti,
250,Omangunta Peeta,
251,San-Noku-Narabe,
252,Nine Holes,
253,Epelle,
254,Akidada,
255,Driesticken,
256,Sam K'i,
257,Oumoul Kono,
258,Lontu-Holo,
259,Sumi Naga Game (Hunt),
260,Sumi Naga Game (War),
261,Terhuchu (Small),
262,Kolowis Awithlaknannai,
263,Forcado,
264,Rimau-Rimau (One Tiger),
265,Rimau-Rimau (Two Tigers),
266,Dam (Singapore),
267,Temeen Tavag,
268,Gurvan Xudag,
269,Ultimate Chess,
270,Aralzaa,
271,Bajr,
272,Toono,
273,Xarajlt,
274,Buudal,
275,Dorvolz,
276,Patok,
277,Tables Rabbatuees,
278,Mankala,
279,Dris at-Talata,
280,Yahoudieh,
281,Ethiopian Capture Game,
282,Vela,
283,Choko,
284,Poprad Game,
285,Janes Soppi,
286,Janes Soppi (Symmetrical),
287,Wolf und Schaaf,
288,Tokkadille,
289,Contrare Puff,
290,Kiz Tavlasi,
291,Hund efter Hare (Thy),
292,Hund efter Hare (Vendsyssel),
293,Gasetavl,
294,Gasetavl (Gedved),
295,Dam Hariman,
296,Gala (Buginese),
297,Mao Naga Tiger Game,
298,Manu,
299,Imperial,
300,Provincial,
301,Ludus Anglicorum,
302,Garanguet,
303,Mysore Tiger Game,
304,Mysore Tiger Game (Three Tigers),
305,Padaivettu,
306,Huli-Mane Ata,
307,Pulijudamu,
308,Triple Tangle,
309,King's Valley,
310,Gioco dell'Orso,
311,Tic-Tac-Toe Misere,
312,La Yagua,
313,Mig Mang,
314,Suffragetto,
315,Tama,
316,Shanzak Kammar,
317,Nuktagaq,
318,Tavelspel,
319,Tsukkalavde,
320,Tablo,
321,Ovalhu,
322,Erherhe,
323,Luuth,
324,Moruba,
325,Andot,
326,Tsoro Yemutatu,
327,Adi,
328,Adidada,
329,Yovodi,
330,Ti,
331,Shono,
332,Greater,
333,Tai Shogi,
334,Ngre E E,
335,Ngrin,
336,Nzengue (Small),
337,Kisolo (Lali),
338,Ngolo,
339,Asalto,
340,I,
341,Yaguarete Kora,
342,Dig Dig,
343,Six Insect Game,
344,Welschschach,
345,Shatranj (Turkey),
346,Triodi (Chios),
347,Chaturanga (al-Adli),
348,Breakback,
349,Raja Pasu Mandiri,
350,Marelle Quadruple,
351,Uthi,
352,Faraday,
353,Agilidade,
354,Pentago,
355,Quarto,
356,Breakthru,
357,Dodo,
358,Tsoro Yemutatu (Triangle),
359,Dongjintian (Four Players),
360,Zuz Mel (5x5),
361,Zuz Mel (7x7),
362,Kharebga (5x5),
363,Kharebga (7x7),
364,Fart (7x7),
365,T'mbl,
366,Buqruru,
367,Tides,
368,Gabata (Adowa),
369,Wari,
370,Fenix,
371,Ikibuguzo (Opening 2),
372,Thermenmuseum,
373,Double-Move Situ,
374,Dogtown Clans,
