,0,1
0,1,9.0
0,Ludus Latrunculorum,
1,Mehen,
2,Surakarta,
3,Achi,
4,Dara,
5,Five Men's Morris,
6,Nine Men's Morris,
7,Six Men's Morris,
8,Twelve Men's Morris,
9,Chaturanga,
10,Seega,
11,Tab,
12,Queah Game,
13,Kioz,
14,Awangdu,
15,Morabaraba,
16,Makvoer,
17,Ad elta stelpur,
18,Shatranj,
19,Chukaray,
20,Symbol S.2,
21,Ja-Jeon-Geo-Gonu,
22,Daldos,
23,Sahkku,
24,Daldosa,
25,Sig (Tozeur),
26,Bheri Bakhri,
27,Tauru,
28,Bolotudu,
29,T'oki,
30,Yote,
31,Siryu (War),
32,Sig (Tidikelt),
33,Moo,
34,Pleasant Draughts,
35,Shashki,
36,The Babylonian,
37,Tule Paid,
38,Nao Guti,
39,Six-Penny Madell,
40,Triodi,
41,Triodi (Diagonal),
42,Marelle Triple,
43,Lam Pusri,
44,Altan Xaraacaj,
45,Xonin Shatar (Simple),
46,Xonin Shatar (Complex),
47,Gurgaldaj,
48,Xanan Zirge,
49,Jeson Zam,
50,Tavan Tal,
51,Zurgaan Tal,
52,Boxijn Barildaan,
53,Fang,
54,Dice Chess,
55,Kiust Oyun,
56,Udat Pagada,
57,Dablot Prejjesne,
58,Damenspiel,
59,Damspel,
60,Tsoro Yemutwelve,
61,Long Assize,
62,Crand,
63,Medieval Chess,
64,Krida Buddhibalasrita,
65,Chaturanga (12x12),
66,Wari (Alignment),
67,Wali,
68,Sig (El Oued Capture),
69,Aqrad,
70,Shogun,
71,Chaturanga (Kridakausalya 14x14),
