,0,1
0,44,45.0
0,Senet,
1,XII Scripta,
2,20 Squares,
3,58 Holes,
4,Backgammon,
5,Royal Game of Ur,
6,Tugi-Epfe,
7,Nard,
8,Ashtapada,
9,Romavoa,
10,Tawula,
11,Ashta-kashte,
12,Pancha Keliya,
13,Tsun K'i,
14,Ghingskoot,
15,Shuanglu,
16,Kolica Atarakua,
17,Kints,
18,Doblet,
19,Fallas,
20,Seys Dos y As,
21,Pareia de Entrada,
22,Todas Tablas,
23,Laquet,
24,El Mundo,
25,Tayam Sonalu,
26,Paumecary,
27,Kotra,
28,Ketch-Dolt,
29,Barjis,
30,Bargese,
31,Main Pacheh,
32,Pachesi,
33,Gavalata,
34,Len Doat,
35,Piprjall,
36,Ssang-Ryouk,
37,Frangieh,
38,Lange Puff,
39,Baralie,
40,Myles,
41,Ludus Lombardorum,
42,Jacquet,
43,Panchi,
44,Thaayam,
45,Uturu Uturu Kaida,
46,Schuster,
47,Buffa de Baldrac,
48,Verquere,
49,Dodgem,
50,Svensk Bradspel,
