,0,1
0,64,9.0
0,Skirmish (GDL),
1,Dots and Boxes,
2,Reversi,
3,Go,
4,Fevga,
5,Plakoto,
6,Knossos Game,
7,Dongjintian,
8,Sijat El Taba,
9,Obridje,
10,Whyo,
11,The Concentration Game,
12,Um el-Bagara,
13,Leyla Gobale (Somaliland),
14,Awari,
15,Kpo,
16,Mangala (Turkey),
17,Alitev,
18,Pic,
19,Kay,
20,Chaturaji,
21,Los Escaques,
22,Pasa,
23,Abalala'e,
24,Wa'ache Waledat,
25,I Pere,
26,Ataxx,
27,Kapana Bona,
28,Omega,
29,Lotus,
30,Triad,
31,Portes,
32,MaxMatch,
33,Two-Colour,
34,DisPath,
35,Ciri Amber,
36,Onek Rong,
37,Line and Cross,
38,Trike,
39,Inkblots,
40,At-Tab wa-d-Dukk,
41,Tablan,
42,Weiqi,
43,La'b Akila,
44,Set Dilth',
45,Tasholiwe,
46,RootZone,
47,Sat Gol,
48,Pachgarhwa,
49,Tumbleweed,
50,Chungcajon,
51,One-Eyed Go,
52,Jacquet de Versailles,
53,Hops-a-Daisy Generalized,
54,Residuel,
55,Paradis,
56,Tap Urdy,
57,Throngs,
58,Duene,
59,Chiana wa Bwalo,
60,Ntyenge,
61,Pasang,
62,Gamacha (Nobility),
63,Nchayo,
64,BlooGo,
65,MacBeth,
66,Four-Player Chaturanga (al-Biruni),
67,Flume,
68,Rolit,
69,Windflowers,
70,Lava,
71,HexGo,
72,FairKalah,
