,Name,utility_UCT,numRandom_UCT,numWins_UCT,utility_Alpha-Beta Search,numRandom_Alpha-Beta Search,numWins_Alpha-Beta Search,utility_PN-MCTS,numRandom_PN-MCTS,numWins_PN-MCTS,utility_MAST,numRandom_MAST,numWins_MAST,utility_GRAVE,numRandom_GRAVE,numWins_GRAVE
0,20 Squares,-0.3,0.0,2.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,-0.2,0.0,2.0
1,Abalala'e,0.15,1.0,6.0,-1.0,9.0,0.0,-0.2,6.0,3.0,0.4,1.0,9.0,-0.5,1.0,0.0
2,Agilidade,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0
3,Aj Sayil,0.38,0.0,8.0,0.5199999999999989,0.0,3.0,0.0,0.0,0.0,-0.04,1.0,1.0,0.38,0.0,8.0
4,Brandub,-0.4,0.0,1.0,0.8,0.0,4.5,-0.4,0.0,1.0,-0.2,0.0,3.0,-0.1,0.0,4.0
5,Cage,-0.1,0.0,4.0,1.0,0.0,5.0,0.1,3.0,6.0,0.4,1.0,9.0,0.2,3.0,7.0
6,Callanish,0.1,0.0,6.0,0.6,0.0,4.0,0.0,0.0,5.0,0.5,0.0,10.0,0.2,0.0,7.0
7,Chess,-0.35,2.0,1.0,1.0,0.0,5.0,-0.1,7.0,1.0,0.2,1.0,7.0,0.1,2.0,5.0
8,Choro (Lango),0.5,0.0,10.0,1.0,0.0,5.0,0.5,0.0,10.0,0.5,0.0,10.0,0.5,0.0,10.0
9,Cittabhramanrpasya Khelanam,-0.5,2.0,0.0,1.0,0.0,5.0,-0.5,6.0,0.0,-0.5,8.0,0.0,-0.5,9.0,0.0
10,Co Chan Cho,-0.5,10.0,0.0,0.0,0.0,0.0,-0.5,10.0,0.0,-0.5,10.0,0.0,-0.5,10.0,0.0
11,Contrare Puff,0.1,10.0,6.0,-0.8,10.0,0.5,0.0,0.0,0.0,0.0,10.0,5.0,-0.2,10.0,3.0
12,Cross,-0.1,0.0,4.0,-0.2,0.0,2.0,0.0,0.0,5.0,0.5,0.0,10.0,0.3,0.0,8.0
13,Daldos,-0.2,2.0,3.0,-0.3,9.0,1.5,0.0,0.0,0.0,-0.2,8.0,3.0,-0.1,10.0,4.0
14,Diviyan Keliya,0.45,10.0,9.0,1.0,7.0,5.0,0.5,10.0,10.0,0.45,9.0,10.0,0.45,10.0,9.0
15,Dra,0.2,0.0,7.0,0.8,0.0,4.5,0.4,0.0,9.0,0.2,2.0,7.0,0.3,2.0,8.0
16,Duidoku,0.0,0.0,5.0,-0.6,0.0,1.0,-0.2,0.0,3.0,0.1,0.0,6.0,0.0,0.0,5.0
17,El Perro,0.5,2.0,10.0,1.0,1.0,5.0,0.5,5.0,10.0,0.5,9.0,10.0,0.5,7.0,10.0
18,Epoxy,-0.2,0.0,3.0,1.0,0.0,5.0,0.3,0.0,8.0,0.3,0.0,8.0,0.3,0.0,8.0
19,FairKalah,0.05,0.0,5.0,0.5,0.0,3.5,0.25,0.0,7.0,0.0,0.0,5.0,-0.2,0.0,2.0
20,Fevga,-0.5,0.0,0.0,-1.0,10.0,0.0,0.0,0.0,0.0,-0.5,10.0,0.0,-0.5,10.0,0.0
21,Foji,-0.05,0.0,4.0,-1.0,0.0,0.0,-0.15,5.0,3.0,0.4,0.0,8.0,-0.3,0.0,2.0
22,Four-Player Chess,0.0333333333333333,9.0,0.0,0.2666666666666666,9.0,0.5,0.0,0.0,0.0,-0.01666666666666665,9.0,0.0,0.05,10.0,0.0
23,Fractal,-0.3,0.0,2.0,-0.8,0.0,0.5,-0.1,1.0,4.0,0.1,0.0,6.0,0.5,0.0,10.0
