,Cluster,RulesetId,Name
0,2,918, Do Guti
1,2,595, Symbol S.2
2,4,1986, Elea
3,4,417, Salta
4,4,1734, Double-Move Situ
5,1,1451, Cittabhramanrpasya Khelanam
6,3,713, Khutka Boia
7,4,1558, Resolve
8,2,121, Insanity
9,2,740, Niranchy
10,2,955, Triodi
11,0,986, Len Doat
12,0,328, Los Palos
13,2,946, Epelle
14,4,704, Y
15,2,415, Kharbaga
16,4,851, Abrobad
17,2,983, Dam (Singapore)
18,4,1770, Onyx
19,4,1286, Zola
20,4,1824, TacTix
21,2,1166, To Kinegi tou Lagou
22,4,875, Dama (Philippines)
23,4,1251, Leap Frog
24,0,202, Tsun K'i
25,2,702, Nein Ari
26,4,1538, Goldilocks Stones
27,4,1800, Cascades
28,0,1197, Paradis
29,2,1068, Vela
30,2,985, Len Cua Kin Ngoa
31,1,859, Shafran Chess
32,3,288, Kay
33,1,1619, Unachess
34,2,1029, Tavan Tal
35,2,1260, Dodgem
36,4,1571, Zuz Mel (7x7)
37,0,194, Ad elta stelpur
38,0,78, Gyan Chaupar
39,1,1616, Hexshogi
40,4,104, Reversi
41,4,890, Unnamed Dutch Draughts Game
42,1,1433, Shatranj (Algeria)
43,4,699, Oriath
44,4,1815, Kanguruh
45,4,964, Gale
46,3,205, Ceelkoqyuqkoqiji
47,2,1140, Pulijudamu
48,2,1041, Xarajlt
49,4,418, Tic-Tac-Four
50,2,1229, Tavelspel
51,0,332, Mapuche Game
52,1,1736, Chaturanga (Kridakausalya 14x14)
53,0,22, Sokkattan
54,1,1206, Russian Fortress Chess
55,1,296, Hindustani Chess
56,4,1778, Barca
57,4,1936, Lifeline
58,2,1934, Felli
59,2,915, Kulaochal
60,4,83, Y (Hex)
61,4,1804, Product
62,4,88, Connect6
63,2,1227, Nuktagaq
64,3,781, Koro
65,2,1094, Gala (Buginese)
66,2,1940, Sabou'iyya
67,4,1400, Fivalath
68,1,308, Shatranj at-Tamma
69,4,616, Hamiltonian Maze
70,0,738, Tablas Astronomias
71,3,274, Mwendo
72,2,1072, Janes Soppi
73,3,1281, Andot
74,4,1389, Master Y
75,1,315, Shatranj Diwana Shah
76,3,1346, Ntyenge
77,0,1120, Ludus Lombardorum
78,4,1049, Crossway
79,4,381, Blue Nile
80,0,201, Pancha Keliya
81,3,1312, Njombwa (Two Counters)
82,2,949, Liu Tsi
83,2,1043, Doov
84,0,168, Awangdu
85,3,433, Motiq
86,3,346, Andada
87,0,141, Tugi-Epfe
88,2,57, Nei-Pat-Kono
89,3,269, Tchela
90,3,232, Azigo
91,3,27, Dabuda
92,2,899, Ram Tir
93,4,165, Rithmomachia
94,2,1233, Tablo
95,4,885, Diagonal Draughts
96,4,80, L Game
97,4,1213, Callanish
98,1,1442, Four-Player Chaturanga (al-Biruni)
99,3,265, Choro (Lango)
100,2,1246, Damspel
101,0,848, Tasholiwe
102,0,1578, Sig (El Oued Capture)
103,4,1661, Watershed
104,2,943, San-Noku-Narabe
105,4,413, Castello
106,3,351, Gabata (Adegrat)
107,2,682, CrossGeo
108,4,1391, 3D Tic-Tac-Toe
109,1,313, Acedrex de los Cuatros Tiempos
110,1,1781, Atomic Chess
111,4,1775, Buttons And Lights
112,2,1022, Engijn Zirge
113,3,437, Unnee Tugalluulax
114,0,863, Pasit
115,3,187, Mefuvha
116,4,676, Ringo
117,0,1167, Kiust Oyun
118,4,772, Weiqi
119,4,784, Abak
120,3,252, Adjiboto
121,4,1823, Plotto
122,2,1386, Crand
123,0,756, Daldos
124,2,947, Six-Penny Madell
125,4,1733, Don't Mosey and The Last Scavenger
126,2,817, Mylna
127,4,1774, Duidoku
128,4,55, Dama
129,2,961, Lam Pusri
130,4,1401, Unfair
131,1,1014, Ultimate Chess
132,2,971, Sumi Naga (War)
133,2,910, Bagha Guti
134,4,86, Andantino
135,2,160, Dash Guti
136,4,1150, Sudoku Mine
137,2,1228, Dablot Prejjesne
138,2,574, Ja-Jeon-Geo-Gonu
139,4,706, Trike
140,1,854, Mini Hexchess
141,1,1769, Reach Chess
142,4,1822, Snort
143,0,167, Kioz
144,3,432, Kanji Guti
145,0,846, Sig (Tidikelt)
146,0,1121, Jacquet de Versailles
147,4,1805, Fission
148,3,18, Gabata (Aksum)
149,3,226, J'odu
150,2,878, Jeu de Renard (Two Foxes)
151,3,1284, Lobudok
152,2,1536, Quarto
153,0,642, Aj Sayil
154,3,1158, Fibonacci Nim
155,3,1385, Nchayo
156,3,250, English Wari (St. Lucia)
157,4,1272, DuploHex
158,2,1067, Ethiopian Capture Game
159,2,64, Zamma
160,3,1518, Uthi
161,1,1464, Chaturanga (12x12)
162,4,1159, Hops-a-Daisy Generalized
163,1,298, Rumi Shatranj
164,2,521, Hyvn aetter Hare
165,3,365, Tuz
166,4,1806, First Attack
167,1,295, Chaturaji
168,2,558, Hewakam Keliya
169,1,1435, Medieval Chess
170,3,347, Qelat (Beni Amir-Mensa)
171,4,419, Ataxx
172,4,489, Frisian Draughts
173,3,1567, Bao
174,0,1789, Es-Sig
175,1,1152, Dice Chess
176,3,135, Qelat
177,1,1795, Quick Chess
178,2,739, Nerenchi Keliya
179,2,1508, Wari (Alignment)
180,4,685, Chase
181,1,458, Amazon Chess
182,3,965, Lontu-Holo
183,0,180, Shing Quon Tu
184,4,1050, Main Dam
185,4,1801, Louis XVI
186,3,1314, Chiana wa Kunja
187,4,407, Snowpaque
188,2,953, Sam K'i
189,1,1657, Viking Chess
190,4,448, Pentalath
191,3,243, Bosh
192,0,736, El Mundo
193,0,1125, Panchi
194,4,1761, Rabbit Warrens
195,4,1323, Shisen-Sho
196,4,1535, Pentago
197,0,173, Romavoa
198,1,122, Knight's Tour
199,4,1671, Yavalax
200,4,119, Squaro
201,1,47, Skirmish (GDL)
202,1,1439, Acedrex (Alfonso)
203,3,216, Puhulmutu
204,4,1737, Dogtown Clans
205,1,293, Shatranj ar-Rumiya
206,4,1245, Damenspiel
207,4,678, Crossline
208,2,717, Tugul Shodra
209,1,1450, Chaturanga (Kridakausalya)
210,2,770, Haretavl
211,4,1669, Make Muster
212,1,979, Forcado
213,3,1222, Tap Urdy
214,3,1290, Misoro Tsoro
215,3,267, Muvalavala (Quioco)
216,4,1987, Ecosys
217,0,1123, Garanguet
218,2,1935, Fettas
219,2,468, Kaooa
220,3,1383, Ngulungu
221,4,1659, HexGo
222,2,1992, Dama (Alquerque)
223,1,1628, Shatranj (14x14)
224,3,1262, Erherhe
225,0,177, Tawula
226,1,46, Shogi
227,0,864, Barjis
228,2,62, Peralikatuma
229,0,653, Pagade Kayi Ata (Sixteen-handed)
230,2,1419, Six Insect Game
231,4,884, The Babylonian
232,1,1396, Spartan Chess
233,0,33, XII Scripta
234,1,74, Knightthrough
235,1,133, Half Chess
236,3,368, Leyla
237,2,573, Ho-Bag Gonu
238,4,889, RootZone
239,2,632, Bagh Guti
240,4,1354, Greater Loss
241,4,82, Hex
242,4,615, Icosian
243,2,787, Aksadyuta
244,3,431, Mawkar Katiya
245,4,391, Havannah
246,1,1468, Tepong
247,3,1308, Shono
248,1,1545, Tenjiku Shogi
249,4,1317, Greatest Loss
250,0,645, Aj Sina'anil
251,2,567, Round Merels
252,2,1009, Dorvon Cag
253,4,56, English Draughts
254,4,617, Sim
255,4,1975, Overflow
256,2,1550, Dodo
257,4,1798, Annuvin
258,2,1139, Huli-Mane Ata
259,2,604, of Solomon
260,2,401, Gol Ekuish
