,RulesetId,Name,DurationTurns
0,918,Do Guti,39.0
1,595,Default,34.0
2,1986,Default,61.0
3,417,Default,182.0
4,1734,Default,12.0
5,1451,Cittabhramanrpasya Khelanam,250.0
6,713,Khutka Boia,181.0
7,1558,Default,79.0
8,121,Default,1.0
9,740,Niranchy,8.0
10,955,Triodi,237.0
11,986,Len Doat,136.0
12,328,Los Palos,38.0
13,946,Epelle,23.0
14,704,Default,53.0
15,415,Mauritania,8.0
16,851,Default,9.0
17,983,Dam (Singapore),250.0
18,1770,Default,148.0
19,1286,Default,51.0
20,1824,Default,10.0
21,1166,To Kynegi tou Lagou,248.0
22,875,Dama (Philippines),135.0
23,1251,Default,25.0
24,202,Tsun K'i,138.0
25,702,Default,1.0
26,1538,Default,37.0
27,1800,Default,56.0
28,1197,Paradis,250.0
29,1068,Vela,46.0
30,985,Len Cua Kin Ngoa,21.0
31,859,Default,98.0
32,288,Kay,172.0
33,1619,Default,249.0
34,1029,Tavan Tal,98.0
35,1260,Default,17.0
36,1571,Zuz Mel (7x7),239.0
37,194,Arnarson and Davidsson,83.0
38,78,Snakes and Ladders,83.0
39,1616,Default,239.0
40,104,Default,63.0
41,890,Unnamed Dutch Draughts Game,62.0
42,1433,Shatranj (Algeria),250.0
43,699,Default,1.0
44,1815,Default,111.0
45,964,Default,73.0
46,205,Eagle,136.0
47,1140,Pulijudamu,237.0
48,1041,Xarajlt,250.0
49,418,Default,29.0
50,1229,Tavelspel,250.0
51,332,Depaulis,135.0
52,1736,Chaturanga (Kridakausalya 14x14),250.0
53,22,Sokkattan (Sri Lanka),183.0
54,1206,Russian Fortress Chess,250.0
55,296,Murray,250.0
56,1778,Default,250.0
57,1936,Default,95.0
58,1934,Bouhajbane,90.0
59,915,Kulaochal,250.0
60,83,Default,101.0
61,1804,Default,61.0
62,88,Default,105.0
63,1227,Nuktagaq,250.0
64,781,Koro,250.0
65,1094,Gala (Buginese),250.0
66,1940,Sabou'iyya,236.0
67,1400,Default,45.0
68,308,Murray,250.0
69,616,Default,1.0
70,738,Tablas Astronomias,84.0
71,274,Mwendo,77.0
72,1072,Janes Soppi,250.0
73,1281,Andot,69.0
74,1389,Default,42.0
75,315,Shatranj Diwana Shah,107.0
76,1346,Ntyenge,101.0
77,1120,Ludus Lombardorum,54.0
78,1049,Default,250.0
79,381,Default,24.0
80,201,Pancha Keliya,78.0
81,1312,Njombwa (Two Counters),117.0
82,949,Liu Tsi,7.0
83,1043,Doov,187.0
84,168,Dahomey,190.0
85,433,Lembata,119.0
86,346,Kunama,84.0
87,141,Tugi-Epfe,29.0
88,57,Culin,250.0
89,269,Tchela,90.0
90,232,Azigo,250.0
91,27,Damohoita,64.0
92,899,Ram Tir,250.0
93,165,Stigter,250.0
94,1233,Tablo,244.0
95,885,Diagonal Draughts,192.0
96,80,Default,7.0
97,1213,Default,4.0
98,1442,Al-Biruni,189.0
99,265,Lango,5.0
100,1246,Damspel,73.0
101,848,Tasholiwe,140.0
102,1578,Sig (El Oued Capture),107.0
103,1661,Default,59.0
104,943,San-Noku-Narabe,7.0
105,413,Default,227.0
106,351,Adegrat,191.0
107,682,Default,26.0
108,1391,Default,10.0
109,313,Acedrex de los Cuatros Tiempos,250.0
110,1781,Default,57.0
111,1775,Default,1.0
112,1022,Engijn Zirge,19.0
113,437,Mancala World,250.0
114,863,Pasit,242.0
115,187,Venda,53.0
116,676,Default,17.0
117,1167,Kiust Oyun,215.0
118,772,Weiqi,250.0
119,784,Default,250.0
120,252,Heskovits,83.0
121,1823,Default,6.0
122,1386,Crand,250.0
123,756,Ostergaard and Gaston,118.0
124,947,Six-Penny Madell,110.0
125,1733,Default,16.0
126,817,Mylna,245.0
127,1774,Default,64.0
128,55,Standard,102.0
129,961,Lam Pusri,244.0
130,1401,Default,21.0
131,1014,Default,147.0
132,971,Sumi Naga Game (War),102.0
133,910,Bagha Guti,250.0
134,86,Default,45.0
135,160,Gupta,202.0
136,1150,Default,1.0
137,1228,Dablot Prejjesne,238.0
138,574,Default,33.0
139,706,Default,41.0
140,854,Default,227.0
141,1769,Default,64.0
142,1822,Default,37.0
143,167,Kioz,162.0
144,432,Kanji Guti,42.0
145,846,Sig (Tidikelt),250.0
146,1121,Jacquet de Versailles,116.0
147,1805,Default,42.0
148,18,Gabata (Aksum),128.0
149,226,J'odu,33.0
150,878,Jeu de Renard (Two Foxes),250.0
151,1284,Lobudok,93.0
152,1536,Default,13.0
153,642,Aj Sayil,66.0
154,1158,Default,27.0
155,1385,Nchayo,37.0
156,250,Herskovits,91.0
157,1272,Default,36.0
158,1067,Ethiopian Capture Game,33.0
159,64,Monod,231.0
160,1518,Uthi,59.0
161,1464,Chaturanga (12x12),250.0
162,1159,Default,53.0
163,298,Rumi Shatranj,249.0
164,521,Hyvn aetter Hare,250.0
165,365,Tuz,127.0
166,1806,Default,7.0
167,295,Wikipedia,247.0
168,558,Sri Lanka,243.0
169,1435,Medieval Chess,247.0
170,347,Beni Amir,250.0
171,419,Default,145.0
172,489,Frisian Draughts,69.0
173,1567,Bao,6.0
174,1789,Es-Sig,243.0
175,1152,Default,188.0
176,135,Qelat II,82.0
177,1795,Default,112.0
178,739,Nerenchi Keliya,153.0
179,1508,Wari (Alignment),172.0
180,685,Default,1.0
