,RulesetId,Name,DurationTurns
0,918,Do Guti,39.0
1,595,Symbol S.2,34.0
2,1986,Elea,61.0
3,417,Salta,182.0
4,1734,Double-Move Situ,12.0
5,1451,Cittabhramanrpasya Khelanam,250.0
6,713,Khutka Boia,181.0
7,1558,Resolve,79.0
8,121,Insanity,1.0
9,740,Niranchy,8.0
10,955,Triodi,237.0
11,986,Len Doat,136.0
12,328,Los Palos,38.0
13,946,Epelle,23.0
14,704,Y,53.0
15,415,Kharbaga,8.0
16,851,Abrobad,9.0
17,983,Dam (Singapore),250.0
18,1770,Onyx,148.0
19,1286,Zola,51.0
20,1824,TacTix,10.0
21,1166,To Kinegi tou Lagou,248.0
22,875,Dama (Philippines),135.0
23,1251,Leap Frog,25.0
24,202,Tsun K'i,138.0
25,702,Nein Ari,1.0
26,1538,Goldilocks Stones,37.0
27,1800,Cascades,56.0
28,1197,Paradis,250.0
29,1068,Vela,46.0
30,985,Len Cua Kin Ngoa,21.0
31,859,Shafran Chess,98.0
32,288,Kay,172.0
33,1619,Unachess,249.0
34,1029,Tavan Tal,98.0
35,1260,Dodgem,17.0
36,1571,Zuz Mel (7x7),239.0
37,194,Ad elta stelpur,83.0
38,78,Gyan Chaupar,83.0
39,1616,Hexshogi,239.0
40,104,Reversi,63.0
41,890,Unnamed Dutch Draughts Game,62.0
42,1433,Shatranj (Algeria),250.0
43,699,Oriath,1.0
44,1815,Kanguruh,111.0
45,964,Gale,73.0
46,205,Ceelkoqyuqkoqiji,136.0
47,1140,Pulijudamu,237.0
48,1041,Xarajlt,250.0
49,418,Tic-Tac-Four,29.0
50,1229,Tavelspel,250.0
51,332,Mapuche Game,135.0
52,1736,Chaturanga (Kridakausalya 14x14),250.0
53,22,Sokkattan,183.0
54,1206,Russian Fortress Chess,250.0
55,296,Hindustani Chess,250.0
56,1778,Barca,250.0
57,1936,Lifeline,95.0
58,1934,Felli,90.0
59,915,Kulaochal,250.0
60,83,Y (Hex),101.0
61,1804,Product,61.0
62,88,Connect6,105.0
63,1227,Nuktagaq,250.0
64,781,Koro,250.0
65,1094,Gala (Buginese),250.0
66,1940,Sabou'iyya,236.0
67,1400,Fivalath,45.0
68,308,Shatranj at-Tamma,250.0
69,616,Hamiltonian Maze,1.0
70,738,Tablas Astronomias,84.0
71,274,Mwendo,77.0
72,1072,Janes Soppi,250.0
73,1281,Andot,69.0
74,1389,Master Y,42.0
75,315,Shatranj Diwana Shah,107.0
76,1346,Ntyenge,101.0
77,1120,Ludus Lombardorum,54.0
78,1049,Crossway,250.0
79,381,Blue Nile,24.0
80,201,Pancha Keliya,78.0
81,1312,Njombwa (Two Counters),117.0
82,949,Liu Tsi,7.0
83,1043,Doov,187.0
84,168,Awangdu,190.0
85,433,Motiq,119.0
86,346,Andada,84.0
87,141,Tugi-Epfe,29.0
88,57,Nei-Pat-Kono,250.0
89,269,Tchela,90.0
90,232,Azigo,250.0
91,27,Dabuda,64.0
92,899,Ram Tir,250.0
93,165,Rithmomachia,250.0
94,1233,Tablo,244.0
95,885,Diagonal Draughts,192.0
96,80,L Game,7.0
97,1213,Callanish,4.0
98,1442,Four-Player Chaturanga (al-Biruni),189.0
99,265,Choro (Lango),5.0
100,1246,Damspel,73.0
101,848,Tasholiwe,140.0
102,1578,Sig (El Oued Capture),107.0
103,1661,Watershed,59.0
104,943,San-Noku-Narabe,7.0
105,413,Castello,227.0
106,351,Gabata (Adegrat),191.0
107,682,CrossGeo,26.0
108,1391,3D Tic-Tac-Toe,10.0
109,313,Acedrex de los Cuatros Tiempos,250.0
110,1781,Atomic Chess,57.0
111,1775,Buttons And Lights,1.0
112,1022,Engijn Zirge,19.0
113,437,Unnee Tugalluulax,250.0
114,863,Pasit,242.0
115,187,Mefuvha,53.0
116,676,Ringo,17.0
117,1167,Kiust Oyun,215.0
118,772,Weiqi,250.0
119,784,Abak,250.0
120,252,Adjiboto,83.0
121,1823,Plotto,6.0
122,1386,Crand,250.0
123,756,Daldos,118.0
124,947,Six-Penny Madell,110.0
125,1733,Don't Mosey and The Last Scavenger,16.0
126,817,Mylna,245.0
127,1774,Duidoku,64.0
128,55,Dama,102.0
129,961,Lam Pusri,244.0
130,1401,Unfair,21.0
131,1014,Ultimate Chess,147.0
132,971,Sumi Naga (War),102.0
133,910,Bagha Guti,250.0
134,86,Andantino,45.0
135,160,Dash Guti,202.0
136,1150,Sudoku Mine,1.0
137,1228,Dablot Prejjesne,238.0
138,574,Ja-Jeon-Geo-Gonu,33.0
139,706,Trike,41.0
140,854,Mini Hexchess,227.0
141,1769,Reach Chess,64.0
142,1822,Snort,37.0
143,167,Kioz,162.0
144,432,Kanji Guti,42.0
145,846,Sig (Tidikelt),250.0
146,1121,Jacquet de Versailles,116.0
147,1805,Fission,42.0
148,18,Gabata (Aksum),128.0
149,226,J'odu,33.0
150,878,Jeu de Renard (Two Foxes),250.0
151,1284,Lobudok,93.0
152,1536,Quarto,13.0
153,642,Aj Sayil,66.0
154,1158,Fibonacci Nim,27.0
155,1385,Nchayo,37.0
156,250,English Wari (St. Lucia),91.0
157,1272,DuploHex,36.0
158,1067,Ethiopian Capture Game,33.0
159,64,Zamma,231.0
160,1518,Uthi,59.0
161,1464,Chaturanga (12x12),250.0
162,1159,Hops-a-Daisy Generalized,53.0
163,298,Rumi Shatranj,249.0
