,Id,Name,NativeName,Description,MainRuleset,LudiiRuleset,Reference,Origin,DLPGame,PublicGame,knownAliases,Author,Publisher,ProprietaryGame,Credit,SeeAlso,BGGId,OriginPoint,EvidenceRange,WishlistGame,Notes,HelpUs,ForceRulesetInLud,DisableWebApp,ReconstructionDescriptionDone
0,3,Senet,,"Senet is one of the oldest board games known in the world, documented from about 3000 BCE until the first millennium BCE in Egypt. It was also played In Cyprus for most of that time, and played at different times in the Levant. Though a full ruleset has never been found, hints from texts and tomb paintings in Egypt give us clues about the manner in which it was likely played. The game was also heavily imbued with religious significance, as the board itself represented the journey through the afterlife.",528,529.0,,Egypt,1,1,Znt,,,0,Eric Piette,,2399.0,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,0,0,0
1,4,Ludus Latrunculorum,,"Ludus Latrunculorum (""Game of Robbers"") is a game from the Roman Empire, beginning in the final centuries BCE, that appears to have been particularly popular in the Roman military. It is mentioned in various authors such as Ovid, Seneca, and Isidore of Seville. Boards have ben found throughout the areas occupied by the Romans, especially in forts. Boards range in size from 6x7 to 14x14 and are not always exactly square. Glass counters were frequently used as pieces. Some speculation exists that this game developed into later tafl games.",32,534.0,,Roman Empire,1,1,Latrunculi,,,0,Eric Piette,,,"41°49'31.40""N, 1°20'16.36""E","3320,4199",0,,0,0,0,0
2,5,XII Scripta,,"XII scripta (""twelve signs"") or ludus duodecim scrtiptorum (""game of twelve signs"" ) or, later, alea (""dice""), is a Roman game dating to the first cnturies CE that appears to be an ancestor of backgammon. Game boards that the form of 36 symbols, placed in three rows of twelve but divided in the middle by either a gap or other, larger signs, such as circles or rosettes. Sometimes the 36 symbols are letters, forming six six-letter words that form a poem or phrase, often relating to game play. One board, from Ostia, may indicate that game play started in the left hand side of the center row of signs, progressed to the right, went from right to left in the top row, and then left to right in the bottom row. A late epigram of Agathias recounts a game of tabula (generic Roman term for ""board game;"" backgammon in the Greek world is today known as tavli) that clearly describes a game of backgammon.",533,33.0,Murray 1951: 30-31,,1,1,"Duodecim Scripta, Ludus Duodecim Scriptorum, Alea",,,0,Eric Piette,,131066.0,"37°58'27.19""N, 23°43'37.42""E","3400,4199",0,,0,0,0,0
3,6,Mehen,,"Mehen is a game dating to the late fourth millennium through the end of the third millennium in Egypt. It takes the form of a coiled snake that is segmented into spaces, and the board varies in the number of spaces that appear on it. According to a tomb painting from the Tomb of Hesy-Re, there could be up to six players, each playing with a set of six spherical pieces and one lion-shaped piece. Tomb reliefs also show four players playing mehen in some cases. Mehen was also played outside of Egypt, particularly in Cyprus and certain parts of the Levant, and was played in Cyprus for at least 1000 years after it became unpopular in Egypt.",34,542.0,,Egypt,1,1,,,,0,Eric Piette,,4148.0,"22°14'1.56""N, 31°36'53.11""E","200,2275",0,,0,0,0,0
4,7,20 Squares,,"20 Squares appears for the first time at the beginning of the second millennium BCE. It seems to be derived originally from the the Royal Game of Ur, becoming particularly popular in Iran, the Levant, Egypt, and Cyprus in addition to Mesopotamia during the Late Bronze Age (1700–1050 BCE), and continued being played in Mesopotamia into the Seleucid period, at least until the second century BCE. Two cuneiform tablets which attest to the rules of the game as played in Seleucid times have recently been translated. There has been some discussion over the ancient name of the game. The best argument is made by Wee (2018: 870) who identified the name as É Er-bé-et-ta, ""Room Four,"" which he also finds in other cuneiform tablets. Others have pointed to a Middle Kingdom Egyptian tomb painting at Beni Hasan which may show two men playing the game, accompanied by the caption ""iseb"" or ""aseb"" (Crist et al 2016: 85–87). Earlier scholars assumed that a game named ""Tjau"" mentioned in some Late Period Egyptian texts was this game (e.g., Peterson 1974: 853), but that has been rejected by more recent scholars (Pusch 2007: 84).",530,35.0,,Mesopotamia,1,1,"É Er-bé-et-ta, Iseb, Aseb, Game of Twenty, Twenty Squares, Room Four",,,0,Eric Piette,50,23211.0,"28°40'30.41""N, 57°44'13.74""E","1200,3499",0,,0,0,0,0
5,8,58 Holes,,"58 holes was a game popular in ancient Southwest Asia from the second and first millennia BCE. The earliest known board comes from Egypt, but it appears very quickly in widely dispersed places throughout the region very quickly, so an origin somewhere else cannot be ruled out. After the middle of the second millennium BCE, it was mostly played only in Mesopotamia, the Levant, and Iran. The ancient name for the game is unknown. In the center of the board are two parallel lines of ten holes, which are surrounded by an arc of 39-41 holes, typically with a larger or marked square at the apex. Pieces are typically pegs to be inserted into the holes, but in some cases discs, stones, or seeds may be used.",531,36.0,,,1,1,Hounds and Jackals,,,0,Eric Piette,,,"29°39'41.74""N, 31°3'22.32""E","1300,3199",0,,0,0,0,0
6,9,Adugo,,"Adugo has been reported among several indigenous groups in Brazil, including the Bororo, Pareci, Guaraní, and the Manchakeri. The game is played on a board which is usually scratched into the earth, with stones or other small objects used as pieces.",37,37.0,,,1,1,"Jogo da Onça, Jogo da Onça e do Cachorro",,,0,Eric Piette,,29341.0,"16°25'6.04""S, 56°21'50.21""W","5504,5504",0,,0,0,0,0
7,10,Baghchal,,"Baghchal is a game popular in Nepal, observed in the twentieth century. This game was played by Buddhist monks in Nepal in 1976, with whom it was said to be particularly popular. It may also be played in India, particularly in places close to Nepal.",38,38.0,Murray 1951: 112.,Nepal,1,1,"Bhagchakar, Chakrachal",,,0,Eric Piette,,,"25°52'47.75""N, 89°17'41.99""E","5433,5486",0,,0,0,0,0
8,11,Diviyan Keliya,,"Diviyan Keliya is a hunt game played in India and Sri Lanka. It has been documented since at least the early twentieth century, but is likely to be much older. It is similar to other hunt games played throughout South Asia.",39,39.0,,South Asia,1,1,"Diviyalliya, Kotiyo Saha Harak, Leopards and Cows",,,0,Eric Piette,,,"8°12'52.99""N, 80°15'53.62""E","5409,5409",0,,0,0,0,0
9,12,Wolf and Sheep,,"Wolf and Sheep is a hunt game, said to be originally derived from Scandinavian halatafl games. Played on an 8x8 checkerboard and only played on the dark squares.",40,40.0,,,0,1,"Fox and Hounds, Hounds and Hare, Devil and Tailors",,,0,Eric Piette,,33085.0,,"0,5520",0,,0,0,0,0
