GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES
Double-Move Situ, 2, false, 2.0, -1.0, 24, 
Unfair, 2, true, 1.0, 1.0, 14, 
Bosh, 2, false, 2.0, -1.0, 194, 
Fractal, 2, false, 2.0, -1.0, 74, 
Khrour, 2, false, 1.5, 0.0, 1000, 
Janes Soppi (Symmetrical), 2, false, 1.5, 0.0, 1000, 
Pentalath, 2, true, 1.0, 1.0, 13, 
Dama (Comoros), 2, true, 1.0, 1.0, 50, 
T'mbl, 2, false, 2.0, -1.0, 134, 
Addi Kul, 2, true, 1.0, 1.0, 73, 
Provincial, 2, false, 2.0, -1.0, 300, 
Chaturanga (Kridakausalya 14x14), 2, true, 1.0, 1.0, 79, 
Pasa, 2, false, 2.0, -1.0, 132, 
Madelinette, 2, true, 1.0, 1.0, 477, 
Mwambulula, 2, false, 2.0, -1.0, 278, 
Bagha Guti, 2, true, 1.0, 1.0, 253, 
Bagh Bandi, 2, true, 1.0, 1.0, 44, 
Feed the Ducks, 2, true, 1.0, 1.0, 25, 
Product, 2, false, 2.0, -1.0, 61, 
Sig (Tozeur), 2, false, 1.5, 0.0, 261, 
Damenspiel, 2, false, 2.0, -1.0, 62, 
Patok, 2, true, 1.0, 1.0, 503, 
Iyogh, 2, true, 1.0, 1.0, 31, 
Enindji, 2, false, 2.0, -1.0, 138, 
Aksadyuta, 2, false, 2.0, -1.0, 2, 
Yucebao, 2, false, 1.5, 0.0, 1000, 
Mylna, 2, true, 1.0, 1.0, 33, 
Shing Quon Tu, 16, false, 9.0, -0.06666666666666665, 2700, 
Four-Player Chess, 4, false, 2.5, 0.0, 2000, 
Boolik, 6, false, 4.0, -0.20000000000000018, 497, 
Knossos Game, 2, false, 2.0, -1.0, 109, 
Millieu, 2, false, 2.0, -1.0, 60, 
Stratomic, 2, true, 1.0, 1.0, 31, 
Achi, 2, true, 1.0, 1.0, 29, 
Len Cua Kin Ngoa, 2, true, 1.0, 1.0, 13, 
Andot, 2, false, 1.5, 0.0, 1000, 
Social Distance Chess, 2, true, 1.0, 1.0, 47, 
First Attack, 2, false, 2.0, -1.0, 6, 
Adugo, 2, true, 1.0, 1.0, 475, 
Tepong, 2, true, 1.0, 1.0, 45, 
Challis Ghutia, 2, false, 1.5, 0.0, 1000, 
Crossline, 2, true, 1.0, 1.0, 13, 
MacBeth, 2, true, 1.0, 1.0, 45, 
Round Merels, 2, false, 2.0, -1.0, 126, 
Brain Coral, 2, false, 2.0, -1.0, 35, 
Leyla Gobale (Somaliland), 2, false, 2.0, -1.0, 69, 
Tuk Tak, 2, false, 2.0, -1.0, 138, 
Sittuyin, 2, true, 1.0, 1.0, 96, 
Thermenmuseum, 2, true, 1.0, 1.0, 8, 
