GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES,TIME
Kharebga (5x5), 2, true, 1.0, 1.0, 77.0, 39, 40490.0
MensaSpiel, 2, true, 1.0, 1.0, 42.0, 21, 49319.0
Xiang Hex, 2, true, 1.0, 1.0, 37.0, 19, 56911.0
Nyout, 2, true, 1.0, 1.0, 72.0, 35, 46403.0
Fart (5x5), 2, false, 2.0, -1.0, 70.0, 34, 58363.0
Half Chess, 2, false, 1.5, 0.0, 209.0, 105, -81.0
Main Dam, 2, false, 2.0, -1.0, 47.0, 21, 58571.0
Tridoku, 1, false, 0.0, -1.0, 500.0, 500, -80.0
Rithmomachia, 2, true, 1.0, 1.0, 235.0, 118, 54588.0
Mefuvha, 2, true, 1.0, 1.0, 136.0, 70, 11436.0
Los Escaques, 7, false, 4.0, 0.0, 18.0, 3, 52969.0
Mawkar Katiya, 2, true, 1.0, 1.0, 334.0, 218, 51529.0
Gopher, 2, false, 2.0, -1.0, 2.0, 0, 58481.0
Domineering, 2, true, 1.0, 1.0, 17.0, 9, 25371.0
Muvalavala (Quioco), 2, true, 1.0, 1.0, 37.0, 18, 41601.0
Throngs, 2, false, 2.0, -1.0, 171.0, 88, -801.0
Triodi, 2, true, 1.0, 1.0, 42.0, 24, 26334.0
Bagh Guti, 2, false, 2.0, -1.0, 184.0, 84, 3455.0
Gabata (Adowa), 2, false, 1.5, 0.0, 1000.0, 482, 54821.0
Pasit, 4, true, 1.0, 1.0, 1210.0, 186, 53647.0
Uthi, 2, false, 2.0, -1.0, 380.0, 182, 58322.0
Merimueng-rimueng, 2, true, 1.0, 1.0, 294.0, 140, 31028.0
Selbia, 2, false, 1.5, 0.0, 8.0, 3, 59950.0
Epoxy, 2, true, 1.0, 1.0, 65.0, 33, 5982.0
Fischer Random Chess, 2, true, 1.0, 1.0, 327.0, 164, 17389.0
Shono, 2, true, 1.0, 1.0, 104.0, 51, 29495.0
Product, 2, false, 2.0, -1.0, 61.0, 31, 30474.0
Dots and Boxes, 2, true, 1.0, 1.0, 131.0, 72, 8449.0
Intotoi, 2, true, 1.0, 1.0, 64.0, 31, 38168.0
Udat Pagada, 2, true, 1.0, 1.0, 19.0, 10, 36506.0
Shanzak Kammar, 2, false, 1.5, 0.0, 1000.0, 499, 47982.0
Chukaray, 2, true, 1.0, 1.0, 298.0, 166, 59978.0
Okwe (Nigeria), 2, false, 1.5, 0.0, 1000.0, 499, 47277.0
Tawula, 2, true, 1.0, 1.0, 574.0, 281, 10252.0
4 Squared, 2, true, 1.0, 1.0, 115.0, 58, 18089.0
Shatranj (14x14), 2, false, 1.5, 0.0, 1000.0, 499, -123.0
Rabbit Warrens, 2, false, 1.5, 0.0, 145.0, 73, -21.0
Meridians, 2, true, 1.0, 1.0, 98.0, 48, 35524.0
Tic-Tac-Four, 4, true, 1.0, 1.0, 16.0, 2, 47070.0
Motiq, 2, false, 1.5, 0.0, 1000.0, 533, 52707.0
Hund efter Hare (Vendsyssel), 2, false, 1.5, 0.0, 1000.0, 499, -80.0
Chopsticks, 2, true, 1.0, 1.0, 245.0, 123, 59875.0
Terhuchu (Small), 2, false, 2.0, -1.0, 98.0, 48, 56843.0
Tokkadille, 2, false, 2.0, -1.0, 267.0, 131, 43250.0
Hexifact, 2, false, 2.0, -1.0, 48.0, 23, 15385.0
Zuz Mel (7x7), 2, true, 1.0, 1.0, 558.0, 279, 28504.0
Sungka, 2, false, 1.5, 0.0, 1000.0, 519, 53902.0
ConHex, 2, true, 1.0, 1.0, 25.0, 13, 32053.0
N Queens, 1, false, 0.0, -1.0, 500.0, 500, -35.0
Quick Chess, 2, true, 1.0, 1.0, 84.0, 41, 17980.0
Medieval Chess, 2, true, 1.0, 1.0, 281.0, 141, 12352.0
Feed the Ducks, 2, false, 2.0, -1.0, 38.0, 18, 49955.0
Troll, 2, true, 1.0, 1.0, 23.0, 12, 39815.0
Sokkattan, 4, true, 1.0, 1.0, 354.0, 86, 36275.0
Round Merels, 2, true, 1.0, 1.0, 217.0, 109, 57035.0
Li'b el-Merafib, 4, true, 1.0, 1.0, 395.0, 91, 55778.0
Mu Torere, 2, true, 1.0, 1.0, 381.0, 191, 56820.0
Pachesi, 4, false, 4.0, -1.0, 278.0, 71, 55965.0
Daldosa, 2, true, 1.0, 1.0, 93.0, 49, 22923.0
Kubuguza, 2, true, 1.0, 1.0, 69.0, 54, 42887.0
Koruboddo, 2, true, 1.0, 1.0, 246.0, 123, 30178.0
Fractal, 2, true, 1.0, 1.0, 7.0, 4, 56085.0
Los Doze Canes, 2, false, 1.5, 0.0, 297.0, 149, -363.0
Forcado, 2, false, 1.5, 0.0, 1000.0, 499, 47758.0
Kiuthi, 2, false, 1.5, 0.0, 356.0, 166, 22168.0
Dara, 2, false, 2.0, -1.0, 74.0, 33, 33432.0
Ceelkoqyuqkoqiji, 2, false, 2.0, -1.0, 141.0, 66, 50842.0
Bara Guti, 2, false, 2.0, -1.0, 58.0, 28, 58086.0
Owela (Benguela), 2, false, 2.0, -1.0, 75.0, 36, 38919.0
Fill A Pix, 1, false, 0.0, -1.0, 500.0, 500, -638.0
Tavelspel, 2, false, 1.5, 0.0, 1000.0, 502, 48966.0
Ultimate Tic-Tac-Toe, 2, false, 1.5, 0.0, 63.0, 32, 24661.0
Ultimate Chess, 2, false, 1.5, 0.0, 243.0, 121, 40948.0
Kolowis Awithlaknannai, 2, false, 1.5, 0.0, 1000.0, 499, 31433.0
Tawlbwrdd, 2, true, 1.0, 1.0, 15.0, 8, 49722.0
Um el Banat, 2, false, 1.5, 0.0, 1000.0, 503, 49005.0
Kotra, 2, true, 1.0, 1.0, 427.0, 218, -252.0
Kapana Bona, 2, false, 1.5, 0.0, 246.0, 122, 57004.0
Dice Chess, 2, true, 1.0, 1.0, 69.0, 35, 40430.0
Chomp, 2, true, 1.0, 1.0, 12.0, 5, 59903.0
Misoro Tsoro, 2, true, 1.0, 1.0, 77.0, 45, 33981.0
Tsoro Yemutatu (Triangle), 2, true, 1.0, 1.0, 179.0, 90, 53521.0
Zohn Ahl, 4, false, 2.5, 0.0, 2000.0, 502, 59963.0
Atari Go, 2, true, 1.0, 1.0, 137.0, 69, 20254.0
Press Ups, 2, false, 1.5, 0.0, 29.0, 15, 35541.0
Frangieh, 2, true, 1.0, 1.0, 165.0, 85, 4555.0
