GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES
Annuvin, 2, true, 1.0, 1.0, 53.0, 31
Pachih, 4, true, 1.0, 1.0, 310.0, 49
Thaayam, 4, false, 3.0, -0.33333333333333326, 488.0, 134
Omnidirectional Draughts, 2, false, 2.0, -1.0, 87.0, 38
Mraha wa Bwe, 2, false, 2.0, -1.0, 276.0, 138
Forcado, 2, false, 1.5, 0.0, 1000.0, 499
Ilpion, 2, true, 1.0, 1.0, 17.0, 9
Ludus Lombardorum, 2, false, 2.0, -1.0, 136.0, 68
Connect Four, 2, false, 2.0, -1.0, 36.0, 17
Satoel, 2, false, 1.5, 0.0, 1000.0, 502
FairKalah, 2, true, 1.0, 1.0, 25.0, 10
Pong Hau K'i, 2, false, 2.0, -1.0, 408.0, 203
Li'b al-'Aqil, 2, false, 1.5, 0.0, 1000.0, 771
Um el-Bagara, 2, false, 2.0, -1.0, 55.0, 28
Lines of Action, 2, false, 2.0, -1.0, 202.0, 100
Labirintus, 1, false, 0.0, -1.0, 500.0, 500
Redstone, 2, true, 1.0, 1.0, 304.0, 151
Flower Shop, 2, true, 1.0, 1.0, 65.0, 31
Gomoku, 2, true, 1.0, 1.0, 9.0, 5
Oumoul Kono, 2, false, 2.0, -1.0, 414.0, 206
Dorvon Cag, 2, false, 2.0, -1.0, 4.0, 1
Bolotudu, 2, true, 1.0, 1.0, 70.0, 39
Ring, 2, false, 2.0, -1.0, 214.0, 106
Double-Run Stone, 2, false, 2.0, -1.0, 14.0, 6
Millieu, 2, false, 2.0, -1.0, 54.0, 27
Pyrga, 2, false, 1.5, 0.0, 30.0, 14
Groups, 2, true, 1.0, 1.0, 17.0, 9
Wari, 2, false, 2.0, -1.0, 59.0, 30
Sprout-R-Out, 2, false, 2.0, -1.0, 51.0, 28
Ecosys, 2, false, 2.0, -1.0, 68.0, 33
MughrabiehSubgame, 2, false, 2.0, -1.0, 215.0, 105
Damenspiel, 2, false, 2.0, -1.0, 55.0, 26
TacTix, 2, false, 2.0, -1.0, 20.0, 9
Fanorona, 2, false, 2.0, -1.0, 203.0, 102
Camelot, 2, true, 1.0, 1.0, 371.0, 184
Sudoku, 1, false, 0.0, -1.0, 500.0, 500
English Wari (St. Lucia), 2, false, 2.0, -1.0, 73.0, 37
Adidada, 2, false, 2.0, -1.0, 61.0, 31
Manalath, 2, true, 1.0, 1.0, 17.0, 9
Sudoku X, 1, false, 0.0, -1.0, 500.0, 500
N Puzzles, 1, false, 0.0, -1.0, 500.0, 500
Nchuwa, 2, false, 2.0, -1.0, 67.0, 21
Lisolo, 2, false, 1.5, 0.0, 1000.0, 499
Atomic Chess, 2, false, 2.0, -1.0, 22.0, 10
Djara-Badakh, 2, false, 2.0, -1.0, 20.0, 9
Tawula, 2, true, 1.0, 1.0, 605.0, 308
Anti-Knight Sudoku, 1, false, 0.0, -1.0, 500.0, 500
Shogun, 2, true, 1.0, 1.0, 9.0, 5
Challis Ghutia (Titagarh), 2, false, 1.5, 0.0, 1000.0, 499
Neg Tugal Tuux, 2, false, 1.5, 0.0, 1000.0, 499
Baqura, 2, true, 1.0, 1.0, 416.0, 150
Tennessee Waltz, 2, false, 2.0, -1.0, 14.0, 6
Makvoer, 2, true, 1.0, 1.0, 79.0, 40
Castello, 2, false, 1.5, 0.0, 1000.0, 504
Gasetavl, 2, false, 1.5, 0.0, 1000.0, 499
Fischer Random Chess, 2, true, 1.0, 1.0, 191.0, 96
Hund efter Hare (Thy), 2, false, 1.5, 0.0, 1000.0, 499
Tama, 2, false, 2.0, -1.0, 266.0, 131
ArdRi, 2, true, 1.0, 1.0, 97.0, 49
Abalala'e, 2, false, 2.0, -1.0, 140.0, 64
Ti, 2, false, 2.0, -1.0, 40.0, 19
Gauntlet, 2, false, 2.0, -1.0, 30.0, 14
Wari (Alignment), 2, true, 1.0, 1.0, 76.0, 42
Halma, 2, false, 1.5, 0.0, 1000.0, 497
Tridoku, 1, false, 0.0, -1.0, 500.0, 500
Main Pacheh, 4, true, 1.0, 1.0, 343.0, 62
Plotto, 2, false, 2.0, -1.0, 6.0, 2
Quantum Leap, 2, true, 1.0, 1.0, 37.0, 19
Ram Tir, 2, false, 1.5, 0.0, 1000.0, 499
Cross, 2, true, 1.0, 1.0, 43.0, 22
Moxie, 2, false, 2.0, -1.0, 14.0, 6
Suffragetto, 2, false, 1.5, 0.0, 1000.0, 509
Greater Loss, 2, false, 2.0, -1.0, 11.0, 6
Latin Square, 1, false, 0.0, -1.0, 500.0, 500
Merimueng-rimueng-do, 2, true, 1.0, 1.0, 77.0, 39
Manifold, 2, false, 2.0, -1.0, 45.0, 21
ConHex, 2, true, 1.0, 1.0, 25.0, 13
Nine Men's Morris, 2, true, 1.0, 1.0, 68.0, 36
Hasami Shogi, 2, true, 1.0, 1.0, 695.0, 348
Chongka', 2, false, 2.0, -1.0, 110.0, 50
Chameleon, 2, true, 1.0, 1.0, 33.0, 17
Unnamed Dutch Draughts Game, 2, true, 1.0, 1.0, 70.0, 39
Felli, 2, true, 1.0, 1.0, 207.0, 104
Jiu Zi Xian Qi, 1, true, 1.0, 1.0, 9.0, 9
Chess, 2, false, 2.0, -1.0, 136.0, 67
Sungka, 2, false, 1.5, 0.0, 1000.0, 479
Aj Sina'anil, 6, true, 1.0, 1.0, 936.0, 169
Haretavl, 2, true, 1.0, 1.0, 158.0, 78
Makonn, 2, false, 2.0, -1.0, 246.0, 133
Siryu (War), 2, true, 1.0, 1.0, 643.0, 322
Kotra, 2, false, 2.0, -1.0, 420.0, 206
MensaSpiel, 2, false, 2.0, -1.0, 19.0, 10
Glinski Chess, 2, false, 1.5, 0.0, 358.0, 179
Main Tapak Empat, 2, true, 1.0, 1.0, 38.0, 18
Bao Ki Arabu (Zanzibar 1), 2, true, 1.0, 1.0, 178.0, 97
SpanRups, 1, true, 1.0, 1.0, 24.0, 24
Mono, 2, true, 1.0, 1.0, 61.0, 31
Pente Grammai, 2, true, 1.0, 1.0, 109.0, 55
Mweso, 2, true, 1.0, 1.0, 135.0, 74
Muvalavala (Luena), 2, false, 2.0, -1.0, 58.0, 26
Es-Sig, 4, false, 4.0, -1.0, 266.0, 61
Barjis, 4, true, 1.0, 1.0, 301.0, 68
El Mundo, 4, false, 2.0, 0.33333333333333337, 531.0, 131
Hoyito, 2, false, 1.5, 0.0, 34.0, 16
Three-Player Hex, 3, true, 1.0, 1.0, 21.0, 8
Mewegae, 2, false, 1.5, 0.0, 1000.0, 482
Plakoto, 2, false, 2.0, -1.0, 102.0, 51
Chaturaji, 4, false, 4.0, -1.0, 384.0, 95
Havannah, 2, true, 1.0, 1.0, 35.0, 18
Um el-Bil, 2, false, 2.0, -1.0, 99.0, 50
Dam (Singapore), 2, true, 1.0, 1.0, 287.0, 144
Line and Cross, 2, true, 1.0, 1.0, 22.0, 10
Kaua Dorki, 2, true, 1.0, 1.0, 63.0, 32
Tugi-Epfe, 2, false, 2.0, -1.0, 12.0, 5
Mogul Putt'han, 2, true, 1.0, 1.0, 66.0, 36
Hops-a-Daisy Generalized, 2, true, 1.0, 1.0, 10.0, 6
2048, 1, false, 0.0, -1.0, 146.0, 146
Theseus and the Minotaur, 1, false, 0.0, -1.0, 32.0, 32
Tavelspel, 2, false, 1.5, 0.0, 1000.0, 499
Wolf and Sheep, 2, false, 2.0, -1.0, 42.0, 20
Sokkattan, 4, true, 1.0, 1.0, 359.0, 93
Tokkadille, 2, false, 2.0, -1.0, 338.0, 163
Engijn Zirge, 2, false, 2.0, -1.0, 78.0, 38
Gygoreg, 2, false, 2.0, -1.0, 239.0, 120
Conspirateurs, 2, false, 1.5, 0.0, 1000.0, 509
Triple Tangle, 2, false, 2.0, -1.0, 284.0, 140
Saturankam, 4, false, 2.0, 0.33333333333333337, 518.0, 115
BoxOff, 1, true, 1.0, 1.0, 24.0, 24
El Perro, 2, true, 1.0, 1.0, 155.0, 80
Daramuti, 2, false, 2.0, -1.0, 193.0, 91
Ouk Chatrang, 2, false, 2.0, -1.0, 212.0, 105
Tapatan, 2, true, 1.0, 1.0, 7.0, 4
El Zorro, 2, true, 1.0, 1.0, 571.0, 286
Lamosh, 2, false, 1.5, 0.0, 1000.0, 530
Go, 2, false, 2.0, -1.0, 389.0, 195
Shobu, 2, true, 1.0, 1.0, 58.0, 30
Main Chongkak, 2, false, 2.0, -1.0, 101.0, 57
Portes, 2, true, 1.0, 1.0, 159.0, 84
Isolo, 2, true, 1.0, 1.0, 566.0, 288
Wali, 2, true, 1.0, 1.0, 102.0, 57
Kharebga (7x7), 2, false, 2.0, -1.0, 844.0, 421
Tobi Shogi, 2, false, 1.5, 0.0, 1000.0, 499
Wolf und Schaaf, 2, false, 2.0, -1.0, 47.0, 24
Tant Fant, 2, false, 2.0, -1.0, 30.0, 14
Shashki, 2, false, 2.0, -1.0, 54.0, 25
Fallas, 2, true, 1.0, 1.0, 171.0, 87
En Gehe, 2, true, 1.0, 1.0, 531.0, 298
Unfair, 2, true, 1.0, 1.0, 14.0, 6
Windir, 2, true, 1.0, 1.0, 28.0, 13
Center, 2, true, 1.0, 1.0, 21.0, 11
Nuktagaq, 2, true, 1.0, 1.0, 197.0, 99
Qi Guo Xiangxi, 7, true, 1.0, 1.0, 206.0, 31
Sig (Tidikelt), 2, false, 1.5, 0.0, 1000.0, 499
Yucebao, 2, false, 1.5, 0.0, 1000.0, 499
