GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES
Merimueng-rimueng, 2, true, 1.0, 1.0, 484.0, 235
Havannah, 2, true, 1.0, 1.0, 63.0, 32
Njombwa, 2, false, 1.5, 0.0, 1000.0, 362
Triodi (Chios), 2, false, 2.0, -1.0, 244.0, 121
Forcado, 2, false, 1.5, 0.0, 1000.0, 499
Murus Gallicus, 2, true, 1.0, 1.0, 117.0, 59
Dama (Philippines), 2, true, 1.0, 1.0, 265.0, 132
Boxijn Barildaan, 2, false, 2.0, -1.0, 28.0, 14
Domineering, 2, true, 1.0, 1.0, 15.0, 8
Quoridor, 2, true, 1.0, 1.0, 35.0, 18
Trax, 2, false, 2.0, -1.0, 16.0, 7
El Cazador, 2, true, 1.0, 1.0, 581.0, 291
Tablut, 2, false, 2.0, -1.0, 82.0, 40
Lam Pusri, 2, true, 1.0, 1.0, 205.0, 102
Keryo-Pente, 2, true, 1.0, 1.0, 103.0, 52
Onek Rong, 2, true, 1.0, 1.0, 34.0, 16
Nzengue (Small), 2, false, 1.5, 0.0, 8.0, 3
Nao Guti, 2, false, 2.0, -1.0, 121.0, 56
Tshuba, 2, true, 1.0, 1.0, 29.0, 21
Tayam Sonalu, 4, true, 1.0, 1.0, 715.0, 136
Poprad Game, 2, false, 1.5, 0.0, 1000.0, 499
Panchi, 2, true, 1.0, 1.0, 215.0, 98
Brazilian Draughts, 2, false, 2.0, -1.0, 208.0, 103
Buttons And Lights, 1, true, 1.0, 1.0, 6.0, 6
Scachs, 2, true, 1.0, 1.0, 181.0, 91
Gasetavl, 2, true, 1.0, 1.0, 227.0, 114
Half Chess, 2, true, 1.0, 1.0, 25.0, 13
Chuka, 1, true, 1.0, 1.0, 10.0, 10
Zurgaan Tal, 2, false, 2.0, -1.0, 204.0, 96
Lombard Chess, 2, true, 1.0, 1.0, 17.0, 9
Nim, 2, true, 1.0, 1.0, 26.0, 15
Seesaw Draughts, 2, false, 2.0, -1.0, 56.0, 26
Ghingskoot, 2, false, 1.5, 0.0, 1000.0, 499
Hewakam Keliya, 2, true, 1.0, 1.0, 212.0, 107
Mehen, 2, false, 1.5, 0.0, 1000.0, 499
Line and Cross, 2, true, 1.0, 1.0, 22.0, 10
Queah Game, 2, false, 2.0, -1.0, 292.0, 145
Yoin, 2, false, 2.0, -1.0, 127.0, 64
Tridoku, 1, false, 0.0, -1.0, 500.0, 500
Viking Chess, 2, true, 1.0, 1.0, 9.0, 5
Pentalpha, 1, true, 1.0, 1.0, 18.0, 18
Shataranja, 2, true, 1.0, 1.0, 99.0, 50
Buqruru, 2, false, 1.5, 0.0, 6.0, 2
Bolotudu, 2, false, 2.0, -1.0, 70.0, 30
Hund efter Hare (Thy), 2, false, 1.5, 0.0, 1000.0, 499
Kaua Dorki, 2, true, 1.0, 1.0, 249.0, 125
Amazons, 2, true, 1.0, 1.0, 182.0, 92
Jeson Mor, 2, true, 1.0, 1.0, 3.0, 2
Mylna, 2, true, 1.0, 1.0, 30.0, 16
Aralzaa, 2, false, 2.0, -1.0, 244.0, 121
Abrobad, 2, true, 1.0, 1.0, 15.0, 8
Nyout, 2, true, 1.0, 1.0, 78.0, 35
Shatranj (12x12), 2, true, 1.0, 1.0, 85.0, 43
Ludus Latrunculorum, 2, false, 1.5, 0.0, 1000.0, 499
Jacquet, 2, true, 1.0, 1.0, 323.0, 174
Fischer Random Chess, 2, false, 1.5, 0.0, 350.0, 174
Monkey Queen, 2, true, 1.0, 1.0, 7.0, 4
Paintbucket, 2, false, 2.0, -1.0, 24.0, 11
Krida Buddhibalasrita, 2, true, 1.0, 1.0, 161.0, 81
Pretwa, 2, true, 1.0, 1.0, 94.0, 49
Fart (7x7), 2, true, 1.0, 1.0, 55.0, 28
Main Tapak Empat, 2, true, 1.0, 1.0, 44.0, 21
Unashogi, 2, false, 1.5, 0.0, 1000.0, 501
Trike, 2, true, 1.0, 1.0, 72.0, 35
Akidada, 2, false, 2.0, -1.0, 34.0, 16
Mysore Tiger Game (Two Tigers), 2, true, 1.0, 1.0, 869.0, 435
Bechi, 2, false, 2.0, -1.0, 693.0, 347
Dama (Alquerque), 2, true, 1.0, 1.0, 45.0, 22
Tablas Astronomias, 7, false, 3.0, 0.33333333333333337, 277.0, 38
Niranchy, 2, false, 2.0, -1.0, 6.0, 2
Weiqi, 2, false, 2.0, -1.0, 533.0, 267
Oware, 2, false, 2.0, -1.0, 210.0, 104
Pentomino, 2, false, 2.0, -1.0, 8.0, 3
Fanorona Telo, 2, true, 1.0, 1.0, 9.0, 5
Mweiso, 2, true, 1.0, 1.0, 39.0, 35
English Draughts, 2, false, 2.0, -1.0, 273.0, 135
Xonin Shatar (Complex), 2, false, 2.0, -1.0, 100.0, 46
Hex Amazons, 2, true, 1.0, 1.0, 209.0, 105
Driesticken, 2, false, 2.0, -1.0, 178.0, 88
Mlabalaba, 2, false, 2.0, -1.0, 98.0, 46
Mangala (Bedouin), 2, true, 1.0, 1.0, 30.0, 22
Safe Passage, 2, false, 2.0, -1.0, 6.0, 2
Co Chan Cho, 2, false, 2.0, -1.0, 402.0, 200
Tokkadille, 2, true, 1.0, 1.0, 261.0, 136
Doov, 2, true, 1.0, 1.0, 365.0, 183
Mankala, 2, false, 2.0, -1.0, 79.0, 40
Tsoro Yemutwelve, 2, false, 2.0, -1.0, 101.0, 47
Bay Khom, 2, true, 1.0, 1.0, 108.0, 63
Yaguarete Kora, 2, true, 1.0, 1.0, 93.0, 47
OddEvenTree, 2, true, 1.0, 1.0, 7.0, 4
Sig wa Duqqan (Houmt al-Arbah), 4, false, 3.0, -0.33333333333333326, 321.0, 48
Ecosys, 2, true, 1.0, 1.0, 67.0, 34
Ringo, 2, true, 1.0, 1.0, 21.0, 11
Ultimate Chess, 2, false, 1.5, 0.0, 569.0, 284
Ikibuguzo (Opening 1), 2, false, 2.0, -1.0, 93.0, 33
Tides, 2, true, 1.0, 1.0, 99.0, 51
Awithlaknakwe, 4, false, 2.5, 0.0, 734.0, 183
Shogi, 2, false, 2.0, -1.0, 412.0, 207
Shatren, 2, false, 2.0, -1.0, 94.0, 46
Aw-li On-nam Ot-tjin, 2, true, 1.0, 1.0, 52.0, 25
Li'b al-'Aqil, 2, false, 1.5, 0.0, 1000.0, 519
Pasang, 2, true, 1.0, 1.0, 117.0, 61
OffShore, 2, true, 1.0, 1.0, 33.0, 17
El Perro, 2, true, 1.0, 1.0, 418.0, 211
Chessence, 2, false, 2.0, -1.0, 67.0, 34
Chaupar, 4, true, 1.0, 1.0, 270.0, 68
Flume, 2, true, 1.0, 1.0, 49.0, 33
La'b Akila, 2, true, 1.0, 1.0, 53.0, 27
Leyla, 2, true, 1.0, 1.0, 569.0, 290
