GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES
Bouge Shodra, 2, false, 2.0, -1.0, 244.0, 121
Hoshi, 1, false, 0.0, -1.0, 500.0, 500
Four-Player Chaturanga (al-Biruni), 4, false, 2.5, 0.0, 2000.0, 487
Gasetavl, 2, false, 1.5, 0.0, 1000.0, 499
Damspel, 2, true, 1.0, 1.0, 48.0, 26
HexTrike, 2, false, 2.0, -1.0, 97.0, 49
Rio Kadalis, 2, true, 1.0, 1.0, 294.0, 145
Moo, 2, true, 1.0, 1.0, 150.0, 77
Nsumbi, 2, false, 2.0, -1.0, 167.0, 81
La Dama, 2, true, 1.0, 1.0, 42.0, 21
Hund efter Hare (Thy), 2, false, 2.0, -1.0, 33.0, 17
Dala, 2, false, 2.0, -1.0, 51.0, 22
Amazon Chess, 2, false, 2.0, -1.0, 173.0, 85
Wolf und Schaaf, 2, false, 2.0, -1.0, 47.0, 24
Pallankuli, 2, false, 2.0, -1.0, 339.0, 192
Liu Tsi, 2, true, 1.0, 1.0, 7.0, 4
Odd, 2, false, 2.0, -1.0, 61.0, 31
Tama, 2, false, 2.0, -1.0, 61.0, 28
Lines of Action, 2, false, 2.0, -1.0, 60.0, 29
Cercar La Liebre, 2, true, 1.0, 1.0, 173.0, 87
Sig (Mauritania), 4, true, 1.0, 1.0, 1756.0, 446
Puhulmutu, 2, false, 2.0, -1.0, 96.0, 36
HeXentafl, 2, true, 1.0, 1.0, 29.0, 15
Master Y, 2, false, 2.0, -1.0, 59.0, 28
Mwendo, 4, false, 2.0, 0.33333333333333337, 49.0, 16
American Pool Checkers, 2, false, 2.0, -1.0, 54.0, 27
Alquerque, 2, false, 2.0, -1.0, 238.0, 118
Maze, 1, true, 1.0, 1.0, 141.0, 141
Tabu Y, 2, false, 2.0, -1.0, 32.0, 15
Castello, 2, false, 1.5, 0.0, 1000.0, 501
Gyan Chaupar, 4, false, 2.0, 0.33333333333333337, 117.0, 28
Hexshogi, 2, false, 2.0, -1.0, 377.0, 188
Ashtapada, 2, false, 2.0, -1.0, 116.0, 51
Shatranj, 2, true, 1.0, 1.0, 200.0, 100
Fill A Pix, 1, false, 0.0, -1.0, 500.0, 500
Sig (Tidikelt), 2, true, 1.0, 1.0, 949.0, 475
Yahoudieh, 2, false, 2.0, -1.0, 90.0, 43
Mawkar Katiya, 2, false, 2.0, -1.0, 755.0, 378
Wali, 2, false, 2.0, -1.0, 84.0, 36
Watershed, 2, true, 1.0, 1.0, 57.0, 29
Agilidade, 2, false, 2.0, -1.0, 12.0, 5
Arimaa, 2, true, 1.0, 1.0, 194.0, 101
OddEvenTree, 2, true, 1.0, 1.0, 7.0, 4
MensaSpiel, 2, true, 1.0, 1.0, 22.0, 10
Sat Gol, 2, false, 2.0, -1.0, 40.0, 13
Millieu, 2, true, 1.0, 1.0, 42.0, 22
Atoll, 2, false, 1.5, 0.0, 106.0, 52
Alea Evangelii, 2, false, 2.0, -1.0, 214.0, 106
Rabbit Warrens, 2, false, 1.5, 0.0, 151.0, 76
Dai Hasami Shogi, 2, false, 2.0, -1.0, 86.0, 42
Unfair, 2, true, 1.0, 1.0, 32.0, 12
Choko, 2, true, 1.0, 1.0, 411.0, 206
Lelac, 2, true, 1.0, 1.0, 135.0, 60
HexDame, 2, false, 2.0, -1.0, 107.0, 54
Obridje, 2, true, 1.0, 1.0, 76.0, 44
Tauru, 2, true, 1.0, 1.0, 41.0, 26
Tai Shogi, 2, false, 1.5, 0.0, 1000.0, 505
Chandaraki, 2, false, 1.5, 0.0, 210.0, 104
Gobblet Gobblers, 2, true, 1.0, 1.0, 7.0, 4
Luuth, 2, true, 1.0, 1.0, 302.0, 220
Plotto, 2, false, 2.0, -1.0, 6.0, 2
Hewakam Keliya, 2, true, 1.0, 1.0, 162.0, 84
Icebreaker, 2, false, 2.0, -1.0, 70.0, 34
Jeu du Renard et de la Poule, 2, true, 1.0, 1.0, 44.0, 26
Um el-Bil, 2, true, 1.0, 1.0, 101.0, 51
Jimafesosh, 2, false, 1.5, 0.0, 1000.0, 489
Oumoul Kono, 2, false, 2.0, -1.0, 270.0, 134
Santaraj, 2, false, 1.5, 0.0, 250.0, 124
Chase, 1, true, 1.0, 1.0, 20.0, 20
Astralesce and Constellation, 2, true, 1.0, 1.0, 21.0, 11
Daldos, 2, false, 2.0, -1.0, 188.0, 92
Fergen Gobale, 2, false, 2.0, -1.0, 53.0, 27
Abak, 2, true, 1.0, 1.0, 113.0, 57
Mughal Pathan, 2, false, 2.0, -1.0, 772.0, 386
Tower of Hanoi, 1, true, 1.0, 1.0, 7.0, 7
Shodra, 2, false, 1.5, 0.0, 1000.0, 499
Uthi, 2, true, 1.0, 1.0, 823.0, 451
Gol Ekuish, 2, true, 1.0, 1.0, 97.0, 49
Ishighan, 4, true, 1.0, 1.0, 24.0, 5
Ex Nihilo, 2, false, 2.0, -1.0, 32.0, 16
Gopher, 2, true, 1.0, 1.0, 47.0, 24
Awithlaknan Mosona, 2, true, 1.0, 1.0, 25.0, 13
Leyla Gobale (Somaliland), 2, false, 2.0, -1.0, 51.0, 23
Bao Kiswahili (DR Congo), 2, true, 1.0, 1.0, 32.0, 23
Mini Hexchess, 2, false, 1.5, 0.0, 174.0, 87
Dice Chess, 2, false, 2.0, -1.0, 26.0, 12
Chonpa, 4, true, 1.0, 1.0, 384.0, 91
Tsoro Yemutwelve, 2, true, 1.0, 1.0, 71.0, 37
Dragonchess, 2, false, 1.5, 0.0, 562.0, 282
Cram, 2, true, 1.0, 1.0, 15.0, 8
Kanguruh, 2, true, 1.0, 1.0, 145.0, 96
Epoxy, 2, false, 2.0, -1.0, 71.0, 34
Patok, 2, true, 1.0, 1.0, 783.0, 392
Shatranj al-Husun, 2, false, 1.5, 0.0, 1000.0, 499
Order and Chaos, 2, true, 1.0, 1.0, 11.0, 6
Overflow, 2, false, 2.0, -1.0, 58.0, 28
Grande Acedrex, 2, false, 1.5, 0.0, 1000.0, 499
Double-Run Stone, 2, true, 1.0, 1.0, 7.0, 4
Spava, 2, false, 2.0, -1.0, 17.0, 9
Fischer Random Chess, 2, false, 2.0, -1.0, 110.0, 54
Spartan Chess, 2, false, 1.5, 0.0, 501.0, 252
Es-Sig, 4, false, 2.0, 0.33333333333333337, 480.0, 114
Kara, 2, false, 2.0, -1.0, 254.0, 126
