GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES
Fenix, 2, true, 1.0, 1.0, 270.0, 133, -263.0
Tayam Sonalu, 4, false, 2.0, 0.33333333333333337, 790.0, 185, -150.0
Pasang, 2, true, 1.0, 1.0, 117.0, 59, 30110.0
Chongka', 2, true, 1.0, 1.0, 153.0, 67, 45786.0
Shogun, 2, true, 1.0, 1.0, 21.0, 11, 54408.0
Sher Bakr, 2, true, 1.0, 1.0, 176.0, 87, 11184.0
Andantino, 2, true, 1.0, 1.0, 27.0, 14, 52990.0
Wellisch Chess, 3, false, 2.0, 0.0, 613.0, 206, -241.0
Pentago, 2, false, 2.0, -1.0, 24.0, 11, 53989.0
Gabata (Ghinda), 2, false, 2.0, -1.0, 345.0, 150, 32218.0
Njombwa (One Counter), 2, true, 1.0, 1.0, 358.0, 209, 38928.0
Meridians, 2, false, 2.0, -1.0, 125.0, 63, 28377.0
Hindustani Chess, 2, false, 1.5, 0.0, 138.0, 68, 25069.0
Allemande, 2, true, 1.0, 1.0, 18.0, 10, 54756.0
Lobudok, 2, true, 1.0, 1.0, 147.0, 85, 45410.0
Breakthru, 2, false, 2.0, -1.0, 66.0, 28, 45396.0
Starchess, 2, true, 1.0, 1.0, 23.0, 12, 54989.0
Mlabalaba, 2, true, 1.0, 1.0, 56.0, 31, 43602.0
Koti Keliya, 2, true, 1.0, 1.0, 27.0, 14, 52989.0
Chungcajon, 2, false, 2.0, -1.0, 225.0, 114, 42384.0
Pulijudamu, 2, true, 1.0, 1.0, 235.0, 118, -524.0
Driesticken, 2, false, 2.0, -1.0, 84.0, 41, 31161.0
Frisian Draughts, 2, false, 2.0, -1.0, 93.0, 44, 41865.0
King And Courtesan, 2, false, 2.0, -1.0, 72.0, 35, 42125.0
Flume, 2, true, 1.0, 1.0, 49.0, 26, 45501.0
Tawula, 2, false, 2.0, -1.0, 685.0, 339, -277.0
