GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES
Tsoro, 2, false, 2.0, -1.0, 136.0, 49
Trax, 2, true, 1.0, 1.0, 23.0, 12
Yovodji, 2, false, 2.0, -1.0, 267.0, 137
Ploy, 2, true, 1.0, 1.0, 219.0, 117
Dama (Philippines), 2, true, 1.0, 1.0, 39.0, 21
Tap Urdy, 2, false, 2.0, -1.0, 298.0, 144
Pon Chochotl, 2, false, 2.0, -1.0, 336.0, 167
Tennessee Waltz, 2, true, 1.0, 1.0, 19.0, 10
King And Courtesan, 2, true, 1.0, 1.0, 47.0, 24
Qatranj, 2, true, 1.0, 1.0, 69.0, 35
Yucebao, 2, false, 1.5, 0.0, 1000.0, 466
Gurgaldaj, 2, true, 1.0, 1.0, 107.0, 58
Challis Ghutia (Titagarh), 2, false, 1.5, 0.0, 1000.0, 499
Nedilmarth, 2, false, 2.0, -1.0, 16.0, 7
Hoshi, 1, false, 0.0, -1.0, 500.0, 500
Pereauni, 2, false, 2.0, -1.0, 81.0, 18
1D Chess, 2, true, 1.0, 1.0, 9.0, 5
Shatranj (12x12), 2, true, 1.0, 1.0, 101.0, 51
Jeson Zam, 2, false, 2.0, -1.0, 51.0, 20
Refugia, 2, true, 1.0, 1.0, 27.0, 14
Buqruru, 2, false, 1.5, 0.0, 5.0, 3
La Liebre Perseguida, 2, true, 1.0, 1.0, 7.0, 4
Papan Dakon, 2, false, 1.5, 0.0, 1000.0, 534
Marelle Quadruple, 2, true, 1.0, 1.0, 77.0, 39
Misoro Tsoro, 2, true, 1.0, 1.0, 169.0, 102
Xiang Hex, 2, true, 1.0, 1.0, 35.0, 18
Dra, 2, false, 2.0, -1.0, 135.0, 64
Kassle, 2, true, 1.0, 1.0, 21.0, 11
HexGo, 2, false, 2.0, -1.0, 115.0, 58
One-Eyed Go, 2, false, 2.0, -1.0, 424.0, 211
Flower Shop, 2, false, 1.5, 0.0, 53.0, 25
Merimueng-rimueng-do, 2, true, 1.0, 1.0, 63.0, 32
Pentomino, 2, false, 2.0, -1.0, 8.0, 3
Rumi Shatranj, 2, true, 1.0, 1.0, 90.0, 46
Windir, 2, true, 1.0, 1.0, 28.0, 13
Arimaa, 2, true, 1.0, 1.0, 387.0, 198
Hund efter Hare (Thy), 2, false, 1.5, 0.0, 1000.0, 499
Manifold, 2, true, 1.0, 1.0, 61.0, 29
Fang, 2, false, 2.0, -1.0, 346.0, 160
El Perro, 2, true, 1.0, 1.0, 131.0, 66
Shatranj (14x14), 2, true, 1.0, 1.0, 35.0, 18
Nein Ari, 1, true, 1.0, 1.0, 3.0, 3
Lisolo, 2, false, 1.5, 0.0, 1000.0, 499
First Attack, 2, true, 1.0, 1.0, 7.0, 4
Medieval Chess, 2, true, 1.0, 1.0, 83.0, 42
Pyrga, 2, true, 1.0, 1.0, 17.0, 9
Jeu du Renard et de la Poule, 2, true, 1.0, 1.0, 45.0, 24
Awithlaknakwe, 4, false, 2.5, 0.0, 749.0, 188
Magic Square, 1, false, 0.0, -1.0, 500.0, 500
Unachess, 2, true, 1.0, 1.0, 77.0, 39
Three-Player Hex, 3, true, 1.0, 1.0, 14.0, 6
Symmetric Chess, 2, true, 1.0, 1.0, 49.0, 25
Netted, 2, true, 1.0, 1.0, 7.0, 4
Shatranj (Turkey), 2, true, 1.0, 1.0, 75.0, 38
Janggi, 2, true, 1.0, 1.0, 95.0, 48
Dragonchess, 2, true, 1.0, 1.0, 73.0, 37
Leap Frog, 2, false, 2.0, -1.0, 254.0, 126
Triodi (Diagonal), 2, true, 1.0, 1.0, 42.0, 25
Elea, 2, true, 1.0, 1.0, 62.0, 31
Rolit, 4, false, 3.0, -0.33333333333333326, 64.0, 15
Foji, 2, false, 2.0, -1.0, 55.0, 25
Odd, 2, false, 2.0, -1.0, 61.0, 31
Schachzabel, 2, true, 1.0, 1.0, 65.0, 33
