GAME NAME, NUM PLAYERS, WIN?, RANK P1, UTILITY P1, NUM MOVES, NUM P1 MOVES
Pallankuli, 2, true, 1.0, 1.0, 680.0, 334
Don't Mosey and The Last Scavenger, 2, false, 2.0, -1.0, 20.0, 9
Kioz, 2, false, 2.0, -1.0, 867.0, 443
Santorini, 2, true, 1.0, 1.0, 61.0, 31
Hus (Damara), 2, false, 2.0, -1.0, 336.0, 152
Chonpa, 4, true, 1.0, 1.0, 452.0, 104
Vai Lung Thlan, 2, false, 2.0, -1.0, 115.0, 58
Polypods, 2, false, 2.0, -1.0, 36.0, 17
Meusueb, 2, false, 2.0, -1.0, 167.0, 77
Dama, 2, false, 2.0, -1.0, 85.0, 39
Long Assize, 2, false, 2.0, -1.0, 458.0, 228
Snowpaque, 2, false, 2.0, -1.0, 32.0, 15
Amazons, 2, false, 2.0, -1.0, 164.0, 81
Tic-Tac-Chess, 2, false, 2.0, -1.0, 218.0, 108
Len Cua Kin Ngoa, 2, true, 1.0, 1.0, 27.0, 14
Kawade Kelia, 4, true, 1.0, 1.0, 735.0, 183
Knossos Game, 2, false, 2.0, -1.0, 163.0, 82
Maak Yek, 2, false, 1.5, 0.0, 1000.0, 499
Xanan Zirge, 2, false, 2.0, -1.0, 548.0, 268
Zamma, 2, true, 1.0, 1.0, 252.0, 125
Mankala, 2, true, 1.0, 1.0, 98.0, 48
Ceelkoqyuqkoqiji, 2, false, 2.0, -1.0, 343.0, 161
Namudilakunze, 2, true, 1.0, 1.0, 190.0, 117
Awangdu, 2, true, 1.0, 1.0, 189.0, 95
Nyout, 2, true, 1.0, 1.0, 60.0, 33
Hufesay, 2, false, 1.5, 0.0, 1000.0, 544
T'uk T'uk, 2, false, 1.5, 0.0, 1000.0, 499
MahbousehSubgame, 2, true, 1.0, 1.0, 211.0, 105
Omega, 2, true, 1.0, 1.0, 60.0, 29
Jeu de Renard (Two Foxes), 2, false, 2.0, -1.0, 429.0, 215
Kpo, 2, true, 1.0, 1.0, 41.0, 21
Mwambulula, 2, true, 1.0, 1.0, 654.0, 360
Pyrga, 2, true, 1.0, 1.0, 23.0, 12
Barca, 2, false, 1.5, 0.0, 1000.0, 499
Dragonchess, 2, false, 1.5, 0.0, 657.0, 326
Petol, 6, true, 1.0, 1.0, 150.0, 24
Co Chan Cho, 2, false, 2.0, -1.0, 402.0, 200
Kisolo, 2, true, 1.0, 1.0, 265.0, 202
Cage, 2, true, 1.0, 1.0, 149.0, 74
Nzengue (Small), 2, false, 1.5, 0.0, 8.0, 3
Gurgaldaj, 2, false, 2.0, -1.0, 61.0, 26
Mak Ruk, 2, true, 1.0, 1.0, 71.0, 36
Lisolo, 2, false, 1.5, 0.0, 1000.0, 499
Gabata (Adowa), 2, false, 1.5, 0.0, 1000.0, 478
Tsoro (Reentered Captures), 2, false, 1.5, 0.0, 1000.0, 516
Shono, 2, false, 2.0, -1.0, 111.0, 56
Tawula, 2, true, 1.0, 1.0, 502.0, 255
Mity, 2, true, 1.0, 1.0, 57.0, 29
Chiana wa Bwalo, 2, false, 2.0, -1.0, 322.0, 160
Pretwa, 2, true, 1.0, 1.0, 51.0, 27
Resolve, 2, false, 2.0, -1.0, 66.0, 32
Atomic Chess, 2, true, 1.0, 1.0, 15.0, 8
Les Pendus, 2, false, 2.0, -1.0, 196.0, 97
Hindustani Chess, 2, false, 1.5, 0.0, 254.0, 126
Das Bohnenspiel, 2, false, 2.0, -1.0, 56.0, 27
