,Cluster,RulesetId,Name
395,0,120,Sudoku
1037,0,1979,2048
1088,0,123,N Puzzles
142,0,1822,Snort
527,0,70,Latin Square
103,0,1661,Watershed
858,0,695,SpanRups
643,0,116,N Queens
125,0,1733,Don't Mosey and The Last Scavenger
254,0,617,Sim
849,0,1565,Hermit
846,0,398,Squava
585,0,452,Yavalade
771,0,1964,Pyrga
1087,0,555,Three-Player Hex
1061,0,103,Dots and Boxes
972,0,1437,MacBeth
426,0,1144,Tic-Tac-Die
794,0,1404,Pippinzip
287,1,549,Capture the Queen
1015,1,791,Koruboddo
775,1,681,Bizingo
137,1,1228,Dablot Prejjesne
1032,1,159,Lau Kata Kati
1065,1,1188,Suffragetto
894,1,1202,Shanzak Kammar
630,1,414,Press Ups
462,1,1027,Xanan Zirge
496,1,373,Tablut
423,1,402,Grasshopper
782,1,157,Ratti-Chitti-Bakri
370,1,1073,Janes Soppi (Symmetrical)
839,1,51,Surakarta
460,1,1127,Mysore Tiger Game
407,1,1010,Gurvan Xudag
1090,1,941,Nao Guti
453,1,1816,Jumping Beans
534,1,164,Queah Game
603,1,380,Alea Evangelii
404,1,1799,A Simple Game
105,1,413,Castello
178,1,739,Nerenchi Keliya
737,2,1295,Tsoro (Additional Capture)
970,2,242,Leyla Gobale (Somaliland)
165,2,365,Tuz
936,2,287,Khrour
463,2,436,Vai Lung Thlan
869,2,235,Okwe (Achalla)
1050,2,292,Chongka'
807,2,217,Walak-Pussa
73,2,1281,Andot
597,2,420,Yovodji
299,2,378,Mbelele
99,2,265,Choro (Lango)
711,2,67,En Gehe
351,3,763,Sig (Mzab)
145,3,846,Sig (Tidikelt)
331,3,840,Set Dilth'
656,3,334,Pasa
1089,3,1047,Tables Rabbatuees
400,3,1191,Sig (Mauritania)
114,3,863,Pasit
470,3,767,Deleb
352,3,785,Pente Grammai
465,4,1012,Breakthrough Chess
736,4,45,Double Chess
261,4,1411,Chandaraki
540,4,294,Shatranj al-Kabir
947,4,1771,Diamond
163,4,298,Rumi Shatranj
329,4,1792,Official Football Chess
917,4,1470,Main Chator (Selangor)
