,Cluster,RulesetId,Name
574,0,1156,Samurai Sudoku
69,1,616,Hamiltonian Maze
788,1,114,Magic Hexagon
43,1,699,Oriath
242,1,615,Icosian
806,2,970,Sumi Naga Game (Hunt)
206,2,1245,Damenspiel
308,2,806,Rimoe
657,2,1026,Gurgaldaj
961,2,882,Pleasant Draughts
208,2,717,Tugul Shodra
83,2,1043,Doov
370,2,1073,Janes Soppi (Symmetrical)
122,2,1386,Crand
504,2,1203,Dum Blas
10,2,955,Triodi
861,2,443,HexDame
3,2,417,Salta
63,2,1227,Nuktagaq
376,2,1989,Dama (Kenya)
262,2,1555,Wali
16,3,851,Abrobad
479,3,1927,Cannon
523,3,818,Kotra
720,3,1282,Ryakati
424,3,254,Hus (Nama)
512,3,212,Baqura
127,3,1774,Duidoku
405,3,922,Senet
919,3,311,Shatranj al-Husun
220,3,1383,Ngulungu
463,3,436,Vai Lung Thlan
1023,3,815,Ofanfelling
808,3,857,McCooey Chess
679,3,1620,Four-Player Chess
506,3,1803,Diagonals
881,3,656,Score Four
754,3,370,I Pere
530,3,376,Isolo
1087,3,555,Three-Player Hex
637,3,629,Clobber
1019,3,948,Tapatan
413,3,1666,N-Mesh
682,3,239,Um el-Bagara
441,3,1981,Signum
481,3,241,Leyla Gobale (Gabradarre)
119,3,784,Abak
90,3,232,Azigo
632,3,316,Shatr ikh Padan
81,3,1312,Njombwa (Two Counters)
801,3,35,20 Squares
757,3,921,Sat Gol
913,3,442,Feed the Ducks
426,3,1144,Tic-Tac-Die
216,3,1987,Ecosys
367,3,808,Sig wa Duqqan (Houmt al-Arbah)
173,3,1567,Bao
496,3,373,Tablut
320,3,307,Shatranj al-Mustatila
852,3,727,Fallas
790,3,1039,Toono
188,3,953,Sam K'i
563,3,646,Aj Sakakil
403,3,1306,Yovodi
708,3,761,Tablan
79,3,381,Blue Nile
387,3,41,ArdRi
432,3,234,The Concentration Game
417,3,268,Muvalavala (Luena)
1081,4,550,Lotus
291,4,1973,Traffic Lights
857,4,1181,Mig Mang
1043,4,1031,One-Eyed Go
