,Cluster,RulesetId,Name
103,0,1661,Watershed
854,0,1808,Forge
732,0,1100,Esa Hex
340,0,674,Onek Rong
887,0,1388,HexTrike
422,0,679,Chomp
100,0,1246,Damspel
1026,0,190,Hasami Shogi
1083,0,85,All Queens Chess
516,0,1978,Yoin
1024,0,1105,Upper Hand
154,0,1158,Fibonacci Nim
1063,0,852,Wellisch Chess
54,0,1206,Russian Fortress Chess
130,0,1401,Unfair
549,0,917,Pentalpha
756,0,1084,Gasetavl
572,0,43,Arimaa
535,0,905,Mughal Pathan
901,0,1772,So Long Sucker
723,0,156,Terhuchu
415,0,1970,Wrigglers Squared
190,0,448,Pentalath
735,0,1399,American Pool Checkers
520,0,79,Amazons
843,0,1556,Gyre
1088,0,123,N Puzzles
631,0,580,NoGo
1094,0,1673,Thermenmuseum
1019,0,948,Tapatan
1,0,595,Symbol S.2
945,0,1128,Mysore Tiger Game (Three Tigers)
137,0,1228,Dablot Prejjesne
8,0,121,Insanity
641,0,1982,Cavity
669,0,186,Dala
634,0,1573,Kharebga (5x5)
963,0,1368,Asalto
536,0,956,Triodi (Diagonal)
543,0,189,Maak Yek
662,0,152,Awithlaknakwe
134,1,86,Andantino
517,2,461,Loop Chess
312,2,457,Maharajah Chess
1058,2,49,Xiangqi
348,2,1011,Phase Chess
911,2,306,Shatranj
161,2,1464,Chaturanga (12x12)
1101,2,463,Minishogi
198,2,122,Knight's Tour
1093,3,251,Awari
64,3,781,Koro
1096,3,255,Nchuwa
359,3,343,Mewelad
472,3,352,Gabata (Shoa and Adegrat)
680,3,1280,Moruba
458,3,438,Bay Khom
155,3,1385,Nchayo
176,3,135,Qelat
600,3,30,Ako Okwe
186,3,1314,Chiana wa Kunja
628,3,796,La'b Akila
548,3,262,Bao Ki Arabu (Zanzibar 1)
12,4,328,Los Palos
1072,4,1112,Baralie
367,4,808,Sig wa Duqqan (Houmt al-Arbah)
931,4,175,Fevga
563,4,646,Aj Sakakil
909,4,757,Sahkku
1008,4,1209,Buffa de Baldrac
882,4,705,Kints
865,4,764,Sig (Tozeur)
192,4,736,El Mundo
