,Cluster,RulesetId,Name,Distance
625,0,464,Taikyoku Shogi,100.62201143541972
651,1,115,Magic Square,23.145280144181285
527,1,70,Latin Square,23.54901470417619
643,1,116,N Queens,23.57885613484825
950,1,314,Los Escaques,99.00108161295597
945,2,1128,Mysore Tiger Game (Three Tigers),10.136602242004233
638,2,170,Juroku Musashi,10.176271473498891
812,2,914,Orissa Tiger Game (One Tiger),10.209618255724628
17,2,983,Dam (Singapore),10.619129619366287
1048,2,716,Bouge Shodra,10.671711079498133
688,2,1129,Mysore Tiger Game (Two Tigers),10.68218097286549
270,2,900,Pam Pait,10.761178159880563
258,2,1139,Huli-Mane Ata,10.776482154731095
941,2,397,Demala Diviyan Keliya,10.871904125473263
454,2,1096,Mao Naga Tiger Game,10.92588560622363
715,2,1582,Tides,10.974485891237935
798,2,1088,Dam Hariman,10.998511081558558
650,2,913,Orissa Tiger Game (Four Tigers),11.061703390947873
72,2,1072,Janes Soppi,11.064926371125557
940,2,1403,Yaguarete Kora,11.10327957345084
930,2,399,Coyote,11.119265641696627
168,2,558,Hewakam Keliya,11.149435711384243
129,2,961,Lam Pusri,11.15921406995242
302,2,50,Fanorona,52.73822770672399
225,3,177,Tawula,12.546627453158736
884,3,745,Siga (Sri Lanka),12.623767874783614
353,3,1252,Verquere,13.290833944218855
601,3,1514,Svensk Bradspel,13.319150938328846
266,3,750,Tayam Sonalu,13.418664117653224
1059,3,1001,Puluc,13.727336504571023
1073,3,1168,Issiren,14.204582804195503
865,3,764,Sig (Tozeur),14.20831035558632
882,3,705,Kints,14.236441314717059
988,3,77,Royal Game of Ur,14.286032373694283
227,3,864,Barjis,14.291636854101501
80,3,201,Pancha Keliya,14.319213665191839
886,3,732,Cab e Quinal,14.33403494089586
233,3,33,XII Scripta,14.347545377177557
523,3,818,Kotra,14.552806074215686
833,3,1116,Ludus Anglicorum,14.56081647591478
447,3,726,Quinze Tablas,14.56091631434231
676,3,1115,Provincial,14.57695852491262
475,3,198,Ashta-kashte,14.615274944997472
1047,3,204,Ghingskoot,14.690032129647344
193,3,1125,Panchi,14.72422435640069
672,3,1113,Imperial,14.733061656199231
197,3,173,Romavoa,14.752967974671986
430,3,895,Pachesi,14.755893796291652
923,3,976,Kawade Kelia,14.824126800550141
114,3,863,Pasit,14.945092960824123
12,3,328,Los Palos,14.948273887164213
829,3,1063,Yahoudieh,14.948922636050744
984,3,1208,Schuster,14.97826264611235
53,3,22,Sokkattan,14.9897074672224
526,3,751,Pachih,15.037045875694629
394,3,172,Ashtapada,15.058748431863622
695,3,729,Emperador,15.087534515085414
613,3,730,Medio Emperador,15.108682574600575
515,3,731,Pareia de Entrada,15.119938828883312
351,3,763,Sig (Mzab),15.152983922086383
1010,3,823,Nebakuthana,15.159907363441953
592,3,748,Pahada Keliya,15.169243695245202
402,3,200,Chaupar,15.241953335539156
801,3,35,20 Squares,15.26629614130957
498,3,896,Chonpa,15.412509268686918
883,3,1122,Jacquet,15.42375977258683
427,3,1077,Lange Puff,15.487868781908853
822,3,1078,Contrare Puff,15.53592400417834
367,3,808,Sig wa Duqqan (Houmt al-Arbah),15.599740054682536
1023,3,815,Ofanfelling,15.610392957476545
380,3,1079,Kiz Tavlasi,15.614179190753097
856,3,183,Knossos Game,15.676499536278296
699,3,330,Kolica Atarakua,15.692238107188206
995,3,997,Piprjall,15.735950553766221
488,3,749,Asi Keliya,15.75487373208718
701,3,151,Tab,15.760563840330477
386,3,1060,Frangieh,15.766898180409635
1049,3,1114,Myles,15.846345988132635
11,3,986,Len Doat,15.859809532325169
553,3,724,Doblet,15.913922702687854
1014,3,760,At-Tab wa-d-Dukk,15.936818532482985
942,3,1647,Murus Gallicus,64.00035441494482
141,4,1769,Reach Chess,22.675071780690793
758,4,440,Atari Go,23.777831020478374
725,4,797,Qi Guo Xiangxi,24.45283793204727
603,4,380,Alea Evangelii,24.653812129199583
849,4,1565,Hermit,97.27302263716906
