,Cluster,RulesetId,Name,Distance
837,0,1151,Sujiken,8.150135272659464
643,0,116,N Queens,8.430206645037389
527,0,70,Latin Square,8.499753247614914
419,0,1664,Pentomino,71.71161371907215
700,1,1283,Otep,6.119520524979682
151,1,1284,Lobudok,6.3142177954571785
720,1,1282,Ryakati,6.365517463547211
350,1,276,Kubuguza,6.39346227170773
773,1,1319,Tsoro (Baia),6.583992659688123
530,1,376,Isolo,6.642966764952463
89,1,269,Tchela,6.68959461990968
406,1,256,Chisolo,6.7087764912459065
814,1,278,Mwambulula,6.730342828107104
868,1,277,Mangola,6.748682177855088
1051,1,1663,Ikibuguzo (Opening 2),6.780892279176942
577,1,248,Kisolo,6.804188027388561
503,1,435,Katra,6.828130696949347
548,1,262,Bao Ki Arabu (Zanzibar 1),6.847329918259653
369,1,1421,Mini Wars,67.7049746802674
1078,2,379,Deka,5.2498472604859545
85,2,433,Motiq,6.2281568014684545
392,2,290,Hoyito,6.241192173137953
355,2,319,Saxun,6.24603398987663
907,2,821,Currierspiel,6.371100640320134
1079,2,428,Wore,6.388482399528671
590,2,425,Foji,6.487655860301975
450,2,312,Grande Acedrex,6.498917168335884
163,2,298,Rumi Shatranj,6.507027403928851
161,2,1464,Chaturanga (12x12),6.561898685974148
468,2,363,Gabata (Oromo),6.570346091221669
73,2,1281,Andot,6.5770888983869105
191,2,243,Bosh,6.581401595036818
626,2,1381,Gamacha,6.604739560041173
555,2,302,Ouk Chatrang,6.660079307131735
855,2,358,Hufesay,6.6624416295715685
615,2,1330,Lombard Chess,6.708318863288077
955,2,439,Waurie,6.768701070409523
935,2,342,Gabata (Ansaba),6.796079099847404
68,2,308,Shatranj at-Tamma,6.802340031332931
120,2,252,Adjiboto,6.808196787713701
719,2,1392,I,6.818969599717724
569,2,247,Intotoi,6.8250366927066795
532,2,249,French Wari,6.832900815130824
202,2,1439,Acedrex (Alfonso),6.897041233668514
561,2,68,Kalah,6.93066915726384
414,2,1307,Ti,6.946690678695939
345,2,1325,Persian Chess with a Queen,6.949998195853457
106,2,351,Gabata (Adegrat),6.993387715109302
170,2,347,Qelat (Beni Amir-Mensa),7.049842963329907
1075,2,661,Gabata (Ghinda),7.050069398291549
1039,2,1331,Schachzabel,7.0607791453620345
465,2,1012,Breakthrough Chess,7.102813641310461
1030,2,1463,Shataranja,7.145905282293759
359,2,343,Mewelad,7.20995485538076
934,2,1819,Diagonals (2002),7.214037121501323
1074,2,215,Pallankuli,7.227243171562092
950,2,314,Los Escaques,62.15244079446318
574,3,1156,Samurai Sudoku,54.91448883505723
416,4,291,Shui Yen Ho-Shang,5.149569536526554
812,4,914,Orissa Tiger (One Tiger),5.213891030188511
638,4,170,Juroku Musashi,5.252277725281583
401,4,171,Yeung Luk Sz' Kon Tseung Kwan,5.6772795798817945
17,4,983,Dam (Singapore),5.713648546304829
1057,4,338,Komikan,5.761202054944221
798,4,1088,Dam Hariman,5.79643925577344
860,4,721,Musinaykahwhanmetowaywin,5.816878994530234
772,4,37,Adugo,5.834294974950754
454,4,1096,Mao Naga Tiger Game,5.862845752713401
945,4,1128,Mysore Tiger (Three Tigers),5.926480453344707
164,4,521,Hyvn aetter Hare,5.927454897667033
1102,4,154,Tuknanavuhpi,6.054379935256952
270,4,900,Pam Pait,6.098333786005726
168,4,558,Hewakam Keliya,6.172895151836506
370,4,1073,Janes Soppi (Symmetrical),6.219646963500461
357,4,1510,Marelle Quadruple,6.238355677447122
556,4,779,Yote,6.291458773400244
407,4,1010,Gurvan Xudag,6.300211031852135
219,4,468,Kaooa,6.322052020684625
135,4,160,Dash Guti,6.342660613282853
941,4,397,Demala Diviyan Keliya,6.35567978356724
94,4,1233,Tablo,6.375776859636549
930,4,399,Coyote,6.378882191902475
446,4,61,Mogul Putt'han,6.382674158989519
63,4,1227,Nuktagaq,6.395415832603079
821,4,155,Kotu Ellima,6.435417827870894
962,4,169,Shi Liu Kan Tsiang Kun,52.77397079647872
