,Cluster,RulesetId,Name,Distance
549,0,917,Pentalpha,Pentalpha
428,0,618,MaxMatch,MaxMatch
357,0,1510,Marelle Quadruple,Marelle Quadruple
2,0,1986,Elea,Elea
60,0,83,Y (Hex),Y (Hex)
334,0,100,Tic-Tac-Toe,Tic-Tac-Toe
1066,0,1107,Oust,Oust
308,0,806,Rimoe,Rimoe
1100,0,952,Driesticken,Driesticken
262,0,1555,Wali,Wali
849,0,1565,Hermit,Hermit
321,0,812,Natt Klab ash-Shawk,Natt Klab ash-Shawk
137,0,1228,Dablot Prejjesne,Dablot Prejjesne
678,0,1412,Pente,Pente
0,0,918,Do Guti,Do Guti
381,0,684,Theseus and the Minotaur,Theseus and the Minotaur
369,0,1421,Mini Wars,Mini Wars
663,0,1007,Temeen Tavag,Temeen Tavag
930,0,399,Coyote,Coyote
734,0,553,Triad,Triad
441,0,1981,Signum,Signum
1025,0,81,Mu Torere,Mu Torere
985,0,130,Nim,Nim
283,0,981,Rimau-Rimau (Two Tigers),Rimau-Rimau (Two Tigers)
306,0,1931,Flower Shop,Flower Shop
787,0,1023,Altan Xaraacaj,Altan Xaraacaj
998,0,1585,Morpharaoh,Morpharaoh
921,0,780,Wure Dune,Wure Dune
843,0,1556,Gyre,Gyre
643,0,116,N Queens,N Queens
304,0,1547,Rolit,Rolit
286,0,911,Bis Gutiya,Bis Gutiya
282,0,805,Satoel,Satoel
966,0,1977,Paintbucket,Paintbucket
187,0,407,Snowpaque,Snowpaque
454,0,1096,Mao Naga Tiger Game,Mao Naga Tiger Game
488,1,749,Asi Keliya,Asi Keliya
872,1,1169,Ishighan,Ishighan
384,1,36,58 Holes,58 Holes
447,1,726,Quinze Tablas,Quinze Tablas
895,1,1177,Udat Pagada,Udat Pagada
28,1,1197,Paradis,Paradis
264,1,819,Ketch-Dolt,Ketch-Dolt
84,1,168,Awangdu,Awangdu
513,1,199,Tamman,Tamman
117,1,1167,Kiust Oyun,Kiust Oyun
727,2,1436,Shatranj (Turkey),Shatranj (Turkey)
917,2,1470,Main Chator (Selangor),Main Chator (Selangor)
1005,2,1199,Omnidirectional Draughts,Omnidirectional Draughts
524,2,1533,Shobu,Shobu
1063,2,852,Wellisch Chess,Wellisch Chess
486,2,1332,Long Assize,Long Assize
1029,2,455,Chess Puzzle,Chess Puzzle
433,2,53,Brazilian Draughts,Brazilian Draughts
128,2,55,Dama,Dama
808,2,857,McCooey Chess,McCooey Chess
1030,2,1463,Shataranja,Shataranja
52,2,1736,Chaturanga (Kridakausalya 14x14),Chaturanga (Kridakausalya 14x14)
116,3,676,Ringo,Ringo
294,4,1384,Lisolo,Lisolo
46,4,205,Ceelkoqyuqkoqiji,Ceelkoqyuqkoqiji
992,4,1311,Njombwa (One Counter),Njombwa (One Counter)
1006,4,230,J'erin,J'erin
700,4,1283,Otep,Otep
1079,4,428,Wore,Wore
120,4,252,Adjiboto,Adjiboto
566,4,206,Yucebao,Yucebao
594,4,1302,Adi,Adi
214,4,1290,Misoro Tsoro,Misoro Tsoro
922,4,271,Quiela,Quiela
959,4,360,Lam Waladach,Lam Waladach
841,4,369,Rio Kadalis,Rio Kadalis
548,4,262,Bao Ki Arabu (Zanzibar 1),Bao Ki Arabu (Zanzibar 1)
