,Cluster,RulesetId,Name,Distance
901,0,1772,So Long Sucker,13.50733610999195
945,0,1128,Mysore Tiger Game (Three Tigers),14.767499254258128
688,0,1129,Mysore Tiger Game (Two Tigers),14.878319761944098
1094,0,1673,Thermenmuseum,14.893015882057314
258,0,1139,Huli-Mane Ata,14.903745360880322
1099,0,185,Shiva,14.92942124153444
568,0,1658,Lielow,14.931204139510658
934,0,1819,Diagonals (2002),14.952466707557587
69,0,616,Hamiltonian Maze,14.955494934882863
72,0,1072,Janes Soppi,14.985079111668542
880,0,1356,Nzengue (Small),15.02104469203718
407,0,1010,Gurvan Xudag,15.04621742199905
1048,0,716,Bouge Shodra,15.070095037298112
242,0,615,Icosian,15.10919544290983
837,0,1151,Sujiken,15.146392764289034
739,0,752,Merimueng-rimueng,15.170370000600435
993,0,877,Jeu de Renard,15.230760372770717
454,0,1096,Mao Naga Tiger Game,15.237148729850746
210,0,770,Haretavl,15.241891295346202
527,0,70,Latin Square,15.253457331063471
638,0,170,Juroku Musashi,15.255082639217692
643,0,116,N Queens,15.285771436181623
651,0,115,Magic Square,15.302351526047637
47,0,1140,Pulijudamu,15.31791207599398
27,0,1800,Cascades,15.328652592970464
1082,0,390,Hat Diviyan Keliya,15.332693456859978
544,0,1148,Sudoku X,15.334326960455366
812,0,914,Orissa Tiger Game (One Tiger),15.339718442932671
395,0,120,Sudoku,15.354365991655694
927,0,1149,Anti-Knight Sudoku,15.36647345941702
940,0,1403,Yaguarete Kora,15.372177416646114
941,0,397,Demala Diviyan Keliya,15.4329707710098
1080,0,395,Merimueng-rimueng-do,15.433821290700068
219,0,468,Kaooa,15.444512349027711
401,0,171,Yeung Luk Sz' Kon Tseung Kwan,15.50058856508814
332,0,129,Chopsticks,15.553151207261244
617,0,1563,Tsoro Yemutatu (Triangle),15.589827098689259
150,0,878,Jeu de Renard (Two Foxes),15.591170585121242
239,0,632,Bagh Guti,15.61939186590419
354,0,1821,Tandems,15.633074408538391
485,0,872,Main Tapak Empat,15.637575097922669
1088,0,123,N Puzzles,15.645134036152816
97,0,1213,Callanish,15.67617630880826
860,0,721,Musinaykahwhanmetowaywin,15.686583346782859
1057,0,338,Komikan,15.694135758652006
460,0,1127,Mysore Tiger Game,15.712178129194802
274,0,901,Bam Blang Beh Khla,15.754836446383095
416,0,291,Shui Yen Ho-Shang,15.763245787704175
644,0,449,Quantum Leap,82.88019542765815
950,1,314,Los Escaques,86.4959537077475
465,2,1012,Breakthrough Chess,14.365726992527462
760,2,1431,Welschschach,14.640276310485897
864,2,318,Shodra,14.76795671403189
163,2,298,Rumi Shatranj,14.774375849173682
298,2,459,Safe Passage,15.127243575783094
848,2,300,Sittuyin,15.367341125073402
615,2,1330,Lombard Chess,15.60312720746964
555,2,302,Ouk Chatrang,15.850571414542477
625,2,464,Taikyoku Shogi,70.91151590571079
85,3,433,Motiq,5.543821573924282
804,3,659,Awagagae,5.795178417417088
106,3,351,Gabata (Adegrat),6.074261971234635
1075,3,661,Gabata (Ghinda),6.097714492269883
396,3,353,Gabata (Wuqro),6.147972055062194
935,3,342,Gabata (Ansaba),6.3969950693113065
626,3,1381,Gamacha,6.680906170978037
532,3,249,French Wari,6.76059798718521
855,3,358,Hufesay,6.769128128045925
91,3,27,Dabuda,6.784114866856877
468,3,363,Gabata (Oromo),6.798725357919125
841,3,369,Rio Kadalis,6.845263046940535
1003,3,354,Gabata (Shoa I),6.871457197871811
86,3,346,Andada,6.879105325536912
144,3,432,Kanji Guti,6.883473088592048
359,3,343,Mewelad,6.9118547404771915
828,3,1185,Ex Nihilo,39.38262850610129
592,4,748,Pahada Keliya,13.853184311622032
884,4,745,Siga (Sri Lanka),14.32325717839166
367,4,808,Sig wa Duqqan (Houmt al-Arbah),14.349050347286228
498,4,896,Chonpa,14.41108014553013
174,4,1789,Es-Sig,14.642115320273904
829,4,1063,Yahoudieh,15.28933272828945
402,4,200,Chaupar,15.31045504714961
1023,4,815,Ofanfelling,15.472458420180836
380,4,1079,Kiz Tavlasi,15.53678046266813
809,4,125,Tower of Hanoi,15.785902547619536
53,4,22,Sokkattan,15.830704267217131
405,4,922,Senet,60.75703889924437
