,Cluster,RulesetId,Name
217,0,1123,Garanguet
563,0,646,Aj Sakakil
267,0,1189,Sik
11,0,986,Len Doat
746,0,1000,Boolik
1068,0,329,Petol
316,0,765,Bheri Bakhri
613,0,730,Medio Emperador
498,0,896,Chonpa
840,0,648,A K'aak'il
793,1,855,Glinski Chess
312,1,457,Maharajah Chess
683,1,1445,Chaturanga (al-Adli)
33,1,1619,Unachess
622,1,492,Dice Shogi
55,1,296,Hindustani Chess
625,1,464,Taikyoku Shogi
42,1,1433,Shatranj (Algeria)
918,2,594,Boseog Gonu
978,2,1030,Zurgaan Tal
877,2,776,Bolotudu
572,2,43,Arimaa
925,2,1944,La Chascona
599,2,1353,Ngrin
533,2,1344,Katsela
262,2,1555,Wali
150,2,878,Jeu de Renard (Two Foxes)
819,2,1494,La Liebre Perseguida
956,2,1788,El-Mthaltha
1011,2,753,Meurimueng-rimueng Peuet Ploh
535,2,905,Mughal Pathan
897,2,396,Pon Chochotl
744,2,639,Santorini
452,2,1082,Hund efter Hare (Thy)
301,2,1612,Mulabalaba
423,2,402,Grasshopper
802,2,1375,Fetach
554,2,945,Nine Holes
500,3,260,Choro (Acholi)
215,3,267,Muvalavala (Quioco)
737,3,1295,Tsoro (Additional Capture)
463,3,436,Vai Lung Thlan
682,3,239,Um el-Bagara
590,3,425,Foji
975,3,285,Alitev
244,3,431,Mawkar Katiya
1003,3,354,Gabata (Shoa I)
647,3,349,Selus (Massawa)
165,3,365,Tuz
577,3,248,Kisolo
323,3,66,Das Bohnenspiel
148,3,18,Gabata (Aksum)
753,4,1390,Coil
648,4,1224,Throngs
771,4,1964,Pyrga
677,4,1507,Pathway
1063,4,852,Wellisch Chess
118,4,772,Weiqi
157,4,1272,DuploHex
794,4,1404,Pippinzip
36,4,1571,Zuz Mel (7x7)
502,4,1796,4 Squared
768,4,1316,Greater
846,4,398,Squava
204,4,1737,Dogtown Clans
494,4,891,Coc-Inbert
748,4,1984,Veloop (Hex)
391,4,663,Flowers
134,4,86,Andantino
216,4,1987,Ecosys
395,4,120,Sudoku
524,4,1533,Shobu
914,4,163,Dam
