,Cluster,RulesetId,Name,Distance
314,0,1184,Residuel,Residuel
511,0,1969,Wrigglers,Wrigglers
698,0,132,Contagion,Contagion
837,0,1151,Sujiken,Sujiken
505,0,710,Inkblots,Inkblots
196,0,1535,Pentago,Pentago
326,0,1811,Kassle,Kassle
142,0,1822,Snort,Snort
280,0,400,Cross,Cross
296,0,450,Spline,Spline
824,0,1971,Scaffold,Scaffold
412,0,1732,Conflagration and Keep-a-riding,Conflagration and Keep-a-riding
200,0,119,Squaro,Squaro
121,0,1823,Plotto,Plotto
594,1,1302,Adi,Adi
361,1,231,Okwe (Nigeria),Okwe (Nigeria)
532,1,249,French Wari,French Wari
435,1,1365,Kisolo (Lali),Kisolo (Lali)
868,1,277,Mangola,Mangola
994,1,1320,Msuwa,Msuwa
546,1,429,Namudilakunze,Namudilakunze
173,1,1567,Bao,Bao
397,1,228,Obridje,Obridje
818,1,1626,Wari,Wari
904,1,233,Iyogh,Iyogh
842,1,263,Mweiso,Mweiso
1018,1,229,Whyo,Whyo
417,1,268,Muvalavala (Luena),Muvalavala (Luena)
387,2,41,ArdRi,ArdRi
653,2,392,Jungle,Jungle
243,2,787,Aksadyuta,Aksadyuta
551,2,389,Madelinette,Madelinette
1001,2,1025,Xonin Shatar (Complex),Xonin Shatar (Complex)
739,2,752,Merimueng-rimueng,Merimueng-rimueng
662,2,152,Awithlaknakwe,Awithlaknakwe
586,2,1942,El Perro,El Perro
730,2,1285,Mlabalaba,Mlabalaba
501,2,472,EinStein Wurfelt Nicht,EinStein Wurfelt Nicht
899,2,1943,El Zorro,El Zorro
522,2,1966,of Dwarfs,Game of Dwarfs
528,2,907,Challis Ghutia,Challis Ghutia
274,2,901,Bam Blang Beh Khla,Bam Blang Beh Khla
94,2,1233,Tablo,Tablo
1031,2,384,Dra,Dra
1077,2,1013,Breakthrough Checkers,Breakthrough Checkers
8,2,121,Insanity,Insanity
357,2,1510,Marelle Quadruple,Marelle Quadruple
723,2,156,Terhuchu,Terhuchu
510,2,897,Sher Bakr,Sher Bakr
815,2,1109,Manu,Manu
152,2,1536,Quarto,Quarto
986,3,1045,Ssang-Ryouk,Ssang-Ryouk
470,3,767,Deleb,Deleb
174,3,1789,Es-Sig,Es-Sig
584,3,820,Dubblets,Dubblets
448,3,836,Owasokotz,Owasokotz
145,3,846,Sig (Tidikelt),Sig (Tidikelt)
114,3,863,Pasit,Pasit
339,3,147,Pachisi,Pachisi
523,3,818,Kotra,Kotra
636,3,1577,Sig (El Oued),Sig (El Oued)
52,4,1736,Chaturanga (Kridakausalya 14x14),Chaturanga (Kridakausalya 14x14)
694,4,858,De Vasa Chess,De Vasa Chess
864,4,318,Shodra,Shodra
465,4,1012,Breakthrough Chess,Breakthrough Chess
181,4,458,Amazon Chess,Amazon Chess
625,4,464,Taikyoku Shogi,Taikyoku Shogi
175,4,1152,Dice Chess,Dice Chess
189,4,1657,Viking Chess,Viking Chess
848,4,300,Sittuyin,Sittuyin
298,4,459,Safe Passage,Safe Passage
1035,4,1543,Squadro,Squadro
